A,Z,az_order,exc_keV,spin_parity,isomer_char
34,17,0,,0+      T=1, 
34,17,1,146.36,3+      T=0,m
34,18,0,,0+, 
35,11,0,,3/2+#, 
35,12,0,,"(3/2-,5/2-)", 
35,13,0,,"(5/2+,3/2+)", 
35,14,0,,7/2-#, 
35,15,0,,1/2+, 
35,16,0,,3/2+*, 
35,17,0,,3/2+*, 
35,18,0,,3/2+, 
35,19,0,,3/2+, 
35,20,0,,1/2+#, 
36,12,0,,0+, 
36,13,0,,, 
36,14,0,,0+, 
36,15,0,,4-, 
36,16,0,,0+, 
36,17,0,,2+*, 
36,18,0,,0+, 
36,19,0,,2+*, 
36,20,0,,0+, 
37,12,0,,(3/2-), 
37,13,0,,5/2+#, 
37,14,0,,(5/2-), 
37,15,0,,(1/2+), 
37,16,0,,7/2-, 
37,17,0,,3/2+*, 
37,18,0,,3/2+*, 
37,19,0,,3/2+*, 
37,20,0,,3/2+*, 
38,13,0,,0-#, 
38,14,0,,0+, 
38,15,0,,(2-), 
38,16,0,,0+, 
38,17,0,,2-, 
38,17,1,671.365,5-,m
38,18,0,,0+, 
38,19,0,,3+*     T=0, 
38,19,1,130.15,0+*     T=1,m
38,19,2,3458.1,(7)+,n
38,20,0,,0+, 
39,13,0,,5/2+#, 
39,14,0,,(5/2-), 
39,15,0,,(1/2+), 
39,16,0,,(7/2)-, 
39,17,0,,3/2+, 
39,18,0,,7/2-*, 
39,19,0,,3/2+*, 
39,20,0,,3/2+*, 
39,22,0,,3/2+#, 
40,14,0,,0+, 
40,15,0,,"(2-,3-)", 
40,16,0,,0+, 
40,17,0,,2-, 
40,18,0,,0+, 
40,19,0,,4-*, 
40,19,1,1643.638,0+,m
40,20,0,,0+, 
40,21,0,,4-, 
40,22,0,,0+, 
41,14,0,,7/2-#, 
41,15,0,,1/2+#, 
41,16,0,,7/2-#, 
41,17,0,,(1/2+), 
41,18,0,,7/2-, 
41,19,0,,3/2+*, 
41,20,0,,7/2-*, 
41,21,0,,7/2-, 
41,22,0,,3/2+, 
42,14,0,,0+, 
42,15,0,,, 
42,16,0,,0+, 
42,17,0,,(2-), 
42,18,0,,0+, 
42,19,0,,2-*, 
42,20,0,,0+, 
42,21,0,,0+      T=1, 
42,21,1,616.81,7+,m
42,22,0,,0+, 
42,24,0,,0+, 
43,15,0,,(1/2+), 
43,16,0,,3/2-, 
43,16,1,320.7,(7/2-),m
43,17,0,,(3/2+), 
43,18,0,,5/2(-), 
43,19,0,,3/2+*, 
43,19,1,738.3,7/2-,m
43,20,0,,7/2-*, 
43,21,0,,7/2-*, 
43,21,1,151.79,3/2+,m
43,21,2,3123.73,19/2-,n
43,22,0,,7/2-, 
43,22,1,313.0,(3/2+),m
43,22,2,3066.4,(19/2-),n
43,23,0,,7/2-#, 
43,24,0,,(3/2+), 
44,15,0,,, 
44,16,0,,0+, 
44,16,1,1365.0,0+,m
44,17,0,,(2-), 
44,18,0,,0+, 
44,19,0,,2-*, 
44,20,0,,0+, 
44,21,0,,2+*, 
44,21,1,67.8679,1-,m
44,21,2,146.1914,0-,n
44,21,3,271.24,6+*,p
44,22,0,,0+, 
44,23,0,,(2)+, 
44,23,1,271.0,(6)+,m
44,24,0,,0+, 
45,16,0,,3/2-#, 
45,17,0,,(3/2+), 
45,18,0,,"(5/2-,7/2-)", 
45,19,0,,3/2+*, 
45,20,0,,7/2-*, 
45,21,0,,7/2-*, 
45,21,1,12.4,3/2+,m
45,22,0,,7/2-*, 
45,22,1,36.53,3/2-,m
45,23,0,,7/2-, 
45,23,1,56.8,(3/2-),m
45,24,0,,7/2-#, 
45,26,0,,3/2+#, 
46,16,0,,0+, 
46,17,0,,2-#, 
46,18,0,,0+, 
46,19,0,,2-*, 
46,20,0,,0+, 
46,21,0,,4+*, 
46,21,1,52.011,6+,m
46,21,2,142.528,1-,n
46,22,0,,0+, 
46,23,0,,0+      T=1, 
46,23,1,801.46,3+      T=0,m
46,24,0,,0+, 
46,25,0,,(4+), 
46,26,0,,0+, 
47,17,0,,3/2+#, 
47,18,0,,(3/2)-, 
47,19,0,,1/2+*, 
47,20,0,,7/2-*, 
47,21,0,,7/2-*, 
47,21,1,766.83,(3/2)+,m
47,22,0,,5/2-*, 
47,23,0,,3/2-*, 
47,24,0,,3/2-, 
47,25,0,,5/2-#, 
47,26,0,,7/2-#, 
48,18,0,,0+, 
48,19,0,,1-*, 
48,20,0,,0+, 
48,21,0,,6+*, 
48,22,0,,0+, 
48,23,0,,4+*, 
48,24,0,,0+, 
48,25,0,,4+, 
48,26,0,,0+, 
48,28,0,,0+, 
49,18,0,,3/2-#, 
49,19,0,,1/2+*, 
49,20,0,,3/2-*, 
49,21,0,,7/2-, 
49,22,0,,7/2-*, 
49,23,0,,7/2-*, 
49,24,0,,5/2-*, 
49,25,0,,5/2-, 
49,26,0,,(7/2-), 
49,28,0,,7/2-#, 
50,18,0,,0+, 
50,19,0,,0-*, 
50,19,1,172.0,(2-),m
50,20,0,,0+, 
50,21,0,,5+, 
50,21,1,256.895,2+,m
50,22,0,,0+, 
50,23,0,,6+*, 
50,24,0,,0+, 
50,25,0,,0+*     T=1, 
50,25,1,225.31,5+*     T=0,m
50,26,0,,0+, 
50,27,0,,(6+), 
50,28,0,,0+, 
51,19,0,,3/2+*, 
51,20,0,,3/2-*, 
51,21,0,,(7/2)-, 
51,22,0,,3/2-, 
51,23,0,,7/2-*, 
51,24,0,,7/2-*, 
51,25,0,,5/2-*, 
51,26,0,,5/2-, 
51,27,0,,7/2-, 
51,28,0,,7/2-#, 
52,19,0,,2-#, 
52,20,0,,0+, 
52,21,0,,3(+), 
52,22,0,,0+, 
52,23,0,,3+, 
52,24,0,,0+, 
52,25,0,,6+*, 
52,25,1,377.749,2+*,m
52,26,0,,0+, 
52,26,1,6960.7,12+,m
52,27,0,,6+, 
52,27,1,376.0,2+,m
52,28,0,,0+, 
53,19,0,,3/2+, 
53,20,0,,1/2-#, 
53,21,0,,(7/2-), 
53,22,0,,(3/2)-, 
53,23,0,,7/2-, 
53,24,0,,3/2-*, 
53,25,0,,7/2-*, 
53,26,0,,7/2-, 
53,26,1,3040.4,19/2-,m
53,27,0,,7/2-#, 
53,27,1,3174.3,(19/2-),m
53,28,0,,(7/2-), 
54,19,0,,2-#, 
54,20,0,,0+, 
54,21,0,,(3)+, 
54,21,1,110.5,"(5+,4+)",m
54,22,0,,0+, 
54,23,0,,3+, 
54,23,1,108.0,(5)+,m
54,24,0,,0+, 
54,25,0,,3+*, 
54,26,0,,0+, 
54,26,1,6527.1,10+,m
54,27,0,,0+      T=1, 
54,27,1,197.57,7+      T=0,m
54,28,0,,0+, 
54,28,1,6457.4,10+,m
54,30,0,,0+, 
55,20,0,,5/2-#, 
55,21,0,,(7/2)-, 
55,22,0,,(1/2)-, 
55,23,0,,7/2-#, 
55,24,0,,3/2-, 
55,25,0,,5/2-*, 
55,26,0,,3/2-, 
55,27,0,,7/2-*, 
55,28,0,,7/2-, 
55,29,0,,3/2-#, 
55,30,0,,5/2-#, 
56,20,0,,0+, 
56,21,0,,(1+), 
56,21,1,0.0,"(6+,5+)",m
56,21,2,775.0,(4+),n
56,22,0,,0+, 
56,23,0,,(1+), 
56,24,0,,0+, 
56,25,0,,3+*, 
56,26,0,,0+, 
56,27,0,,4+*, 
56,28,0,,0+, 
56,29,0,,(4+), 
56,30,0,,0+, 
57,21,0,,7/2-#, 
57,22,0,,5/2-#, 
57,23,0,,(7/2-), 
57,24,0,,(3/2)-, 
57,25,0,,5/2-*, 
57,26,0,,1/2-*, 
57,27,0,,7/2-*, 
57,28,0,,3/2-, 
57,29,0,,3/2-*, 
57,30,0,,7/2-#, 
58,21,0,,3+#, 
58,21,1,1420.7,,m
58,22,0,,0+, 
58,23,0,,(1+), 
58,24,0,,0+, 
58,25,0,,1+*, 
58,25,1,71.77,4+*,m
58,26,0,,0+, 
58,27,0,,2+*, 
58,27,1,24.95,5+,m
58,27,2,53.15,4+,n
58,28,0,,0+, 
58,29,0,,1+*     T=0, 
58,30,0,,0+, 
59,22,0,,5/2-#, 
59,22,1,108.5,1/2-#,m
59,23,0,,(5/2-), 
59,24,0,,(1/2-), 
59,24,1,502.7,(9/2+),m
59,25,0,,5/2-*, 
59,26,0,,3/2-*, 
59,27,0,,7/2-*, 
59,28,0,,3/2-, 
59,29,0,,3/2-*, 
59,30,0,,3/2-, 
59,32,0,,7/2-#, 
60,22,0,,0+, 
60,23,0,,3+#, 
60,23,1,0.0,1+#,m
60,23,2,203.7,(4+),n
60,24,0,,0+, 
60,25,0,,1+*, 
60,25,1,271.9,4+*,m
60,26,0,,0+, 
60,27,0,,5+*, 
60,27,1,58.59,2+*,m
60,28,0,,0+, 
60,29,0,,2+*, 
60,30,0,,0+, 
60,31,0,,(2+), 
60,32,0,,0+, 
61,22,0,,1/2-#, 
61,22,1,125.0,5/2-#,m
61,22,2,700.1,9/2+#,n
61,23,0,,(3/2-), 
61,24,0,,(5/2-), 
61,25,0,,5/2-*, 
61,26,0,,(3/2-), 
61,26,1,861.67,9/2+,m
61,27,0,,7/2-, 
61,28,0,,3/2-*, 
61,29,0,,3/2-*, 
61,30,0,,3/2-, 
61,31,0,,3/2-, 
61,32,0,,3/2-#, 
62,23,0,,3+#, 
62,24,0,,0+, 
62,25,0,,1+*, 
62,25,1,343.0,4+*,m
62,26,0,,0+, 
62,27,0,,(2)+, 
62,27,1,22.0,(5)+,m
62,28,0,,0+, 
62,29,0,,1+*, 
62,30,0,,0+, 
62,31,0,,0+      T=1, 
62,32,0,,0+, 
63,23,0,,"(3/2-,5/2-)", 
63,24,0,,1/2-#, 
63,25,0,,5/2-*, 
63,26,0,,(5/2-), 
63,27,0,,7/2-, 
63,28,0,,1/2-*, 
63,28,1,87.15,5/2-,m
63,29,0,,3/2-*, 
63,30,0,,3/2-*, 
63,31,0,,3/2-*, 
63,32,0,,3/2-#, 
63,34,0,,3/2-#, 
64,23,0,,"(1,2)", 
64,24,0,,0+, 
64,25,0,,1+*, 
64,25,1,174.1,(4+)*,m
64,26,0,,0+, 
64,27,0,,1+, 
64,28,0,,0+, 
64,29,0,,1+*, 
64,30,0,,0+, 
64,31,0,,0(+#), 
64,31,1,42.85,(2+),m
64,32,0,,0+, 
64,33,0,,0+#, 
64,34,0,,0+, 
65,24,0,,1/2-#, 
65,25,0,,(5/2-), 
65,26,0,,(1/2-), 
65,26,1,393.7,(9/2+),m
65,26,2,397.6,(5/2+),n
65,27,0,,(7/2)-, 
65,28,0,,5/2-, 
65,28,1,63.37,1/2-,m
65,29,0,,3/2-*, 
65,30,0,,5/2-*, 
65,30,1,53.928,1/2-,m
65,31,0,,3/2-*, 
65,32,0,,3/2-, 
65,33,0,,3/2-#, 
65,34,0,,3/2-#, 
66,24,0,,0+, 
