A,Z,az_order,exc_keV,spin_parity,isomer_char
85,38,1,238.79,1/2-*,m
85,39,0,,(1/2)-, 
85,39,1,19.68,(9/2)+,m
85,39,2,266.18,(5/2)-,n
85,40,0,,(7/2+), 
85,40,1,292.2,1/2-#,m
85,41,0,,9/2+#, 
85,41,1,150.0,(1/2-),m
85,41,2,,,n
85,42,0,,(1/2+), 
86,31,0,,, 
86,32,0,,0+, 
86,33,0,,"(1-,2-)", 
86,34,0,,0+, 
86,35,0,,(1-), 
86,36,0,,0+, 
86,37,0,,2-*, 
86,37,1,556.05,6-*,m
86,38,0,,0+, 
86,38,1,2956.09,8+,m
86,39,0,,4-*, 
86,39,1,218.21,(8+),m
86,39,2,302.18,6+,n
86,40,0,,0+, 
86,41,0,,(6+), 
86,41,1,150.0,"(0-,1-,2-)",m
86,42,0,,0+, 
86,43,0,,(0+), 
86,43,1,1524.0,(6+),m
87,31,0,,5/2-#, 
87,32,0,,5/2+#, 
87,33,0,,"(5/2-,3/2-)", 
87,34,0,,(3/2+), 
87,35,0,,5/2-, 
87,36,0,,5/2+*, 
87,37,0,,3/2-*, 
87,38,0,,9/2+*, 
87,38,1,388.5287,1/2-*,m
87,39,0,,1/2-*, 
87,39,1,380.82,9/2+*,m
87,40,0,,9/2+, 
87,40,1,335.84,1/2-,m
87,41,0,,(1/2)-, 
87,41,1,3.9,(9/2)+,m
87,42,0,,7/2+#, 
87,43,0,,9/2+#, 
87,43,1,7.0,1/2-#,m
88,32,0,,0+, 
88,33,0,,, 
88,34,0,,0+, 
88,35,0,,(1-), 
88,35,1,270.17,(4-),m
88,36,0,,0+, 
88,37,0,,2-*, 
88,37,1,1373.8,(7+),m
88,38,0,,0+, 
88,39,0,,4-*, 
88,39,1,392.86,1+,m
88,39,2,674.55,8+*,n
88,40,0,,0+, 
88,40,1,2887.79,8+,m
88,41,0,,(8+), 
88,41,1,130.0,(4-),m
88,42,0,,0+, 
88,43,0,,(2+), 
88,43,1,70.0,(6+),m
88,43,2,95.0,(4+),n
88,44,0,,0+, 
89,34,0,,5/2+#, 
89,35,0,,"(3/2-,5/2-)", 
89,36,0,,3/2+*, 
89,37,0,,3/2-*, 
89,38,0,,5/2+*, 
89,39,0,,1/2-*, 
89,39,1,908.97,9/2+*,m
89,40,0,,9/2+, 
89,40,1,587.82,1/2-,m
89,41,0,,(9/2+), 
89,41,1,0.0,(1/2)-,m
89,42,0,,(9/2+), 
89,42,1,387.5,(1/2-),m
89,43,0,,(9/2+), 
89,43,1,62.6,(1/2-),m
89,44,0,,(9/2+), 
90,33,0,,, 
90,34,0,,0+, 
90,35,0,,, 
90,36,0,,0+, 
90,37,0,,0-*, 
90,37,1,106.9,3-*,m
90,38,0,,0+, 
90,39,0,,2-*, 
90,39,1,682.01,7+*,m
90,40,0,,0+, 
90,40,1,2319.0,5-,m
90,40,2,3589.418,8+,n
90,41,0,,8+*, 
90,41,1,122.37,6+,m
90,41,2,124.67,4-*,n
90,41,3,171.1,7+,p
90,41,4,382.01,1+,q
90,42,0,,0+, 
90,42,1,2874.73,8+,m
90,43,0,,(8+), 
90,43,1,144.0,1+,m
90,44,0,,0+, 
90,45,0,,(0+), 
90,45,1,0.0,(7+),m
91,34,0,,1/2+#, 
91,35,0,,5/2-#, 
91,36,0,,5/2+*, 
91,37,0,,3/2-*, 
91,38,0,,5/2+*, 
91,39,0,,1/2-*, 
91,39,1,555.58,9/2+,m
91,40,0,,5/2+*, 
91,40,1,3167.3,(21/2+),m
91,41,0,,9/2+*, 
91,41,1,104.6,1/2-*,m
91,41,2,2034.42,(17/2-),n
91,42,0,,9/2+, 
91,42,1,653.01,1/2-,m
91,43,0,,(9/2)+, 
91,43,1,139.3,(1/2)-,m
91,44,0,,(9/2+), 
91,44,1,-340.0,(1/2-),m
91,45,0,,(9/2+), 
91,46,0,,7/2+#, 
92,34,0,,0+, 
92,35,0,,(2-), 
92,35,1,662.0,,m
92,35,2,1138.0,,n
92,36,0,,0+, 
92,37,0,,0-*, 
92,38,0,,0+, 
92,39,0,,2-*, 
92,39,1,807.0,7+#,m
92,40,0,,0+, 
92,41,0,,7+*, 
92,41,1,135.5,(2)+,m
92,41,2,225.8,(2)-,n
92,41,3,2203.3,(11-),p
92,42,0,,0+, 
92,42,1,2760.52,8+,m
92,43,0,,(8)+, 
92,43,1,270.09,(4+),m
92,44,0,,0+, 
92,44,1,2833.9,(8+),m
92,45,0,,(6+), 
92,45,1,50.0,(2+),m
92,45,2,105.0,(4+),n
92,46,0,,0+, 
93,34,0,,1/2+#, 
93,35,0,,5/2-#, 
93,36,0,,1/2+*, 
93,37,0,,5/2-*, 
93,37,1,4423.1,(27/2-),m
93,38,0,,5/2+*, 
93,39,0,,1/2-*, 
93,39,1,758.719,9/2+*,m
93,40,0,,5/2+, 
93,41,0,,9/2+*, 
93,41,1,30.76,1/2-,m
93,41,2,7460.0,33/2-#,n
93,42,0,,5/2+, 
93,42,1,2424.95,21/2+,m
93,42,2,9695.0,(39/2-),n
93,43,0,,9/2+, 
93,43,1,391.84,1/2-,m
93,43,2,2185.16,(17/2)-,n
93,44,0,,(9/2)+, 
93,44,1,734.4,(1/2)-,m
93,44,2,2082.5,(21/2)+,n
93,45,0,,9/2+#, 
93,46,0,,(9/2+), 
93,47,0,,9/2+#, 
94,34,0,,0+, 
94,35,0,,2-#, 
94,35,1,294.6,,m
94,36,0,,0+, 
94,37,0,,3-*, 
94,37,1,104.2,(0-),m
94,37,2,2074.9,(10-),n
94,38,0,,0+, 
94,39,0,,2-*, 
94,39,1,1202.3,(5+),m
94,40,0,,0+, 
94,41,0,,6+, 
94,41,1,40.892,3+,m
94,42,0,,0+, 
94,43,0,,7+*, 
94,43,1,76.0,(2)+,m
94,44,0,,0+, 
94,44,1,2644.1,8+,m
94,45,0,,(4+), 
94,45,1,54.6,(2+),m
94,45,2,300.0,(8+),n
94,46,0,,0+, 
94,46,1,4883.1,(14+),m
94,46,2,7209.8,(19-),n
94,47,0,,0+#, 
94,47,1,1350.0,(7+),m
94,47,2,6500.0,(21+),n
95,35,0,,5/2-#, 
95,36,0,,1/2+*, 
95,36,1,195.5,(7/2+),m
95,37,0,,5/2-*, 
95,38,0,,1/2+*, 
95,39,0,,1/2-*, 
95,39,1,1087.6,9/2+,m
95,40,0,,5/2+, 
95,41,0,,9/2+, 
95,41,1,235.69,1/2-,m
95,42,0,,5/2+*, 
95,43,0,,9/2+*, 
95,43,1,38.91,1/2-,m
95,44,0,,5/2+, 
95,45,0,,(9/2)+, 
95,45,1,543.3,(1/2)-,m
95,46,0,,9/2+#, 
95,46,1,1875.13,(21/2+),m
95,47,0,,(9/2+), 
95,48,0,,9/2+#, 
96,35,0,,, 
96,36,0,,0+, 
96,37,0,,2-*, 
96,37,1,0.0,1(+#),m
96,38,0,,0+, 
96,39,0,,0-*, 
96,39,1,1540.0,8+*,m
96,39,2,1655.0,(6+),n
96,40,0,,0+, 
96,41,0,,6+, 
96,42,0,,0+, 
96,43,0,,7+*, 
96,43,1,34.23,4+,m
96,44,0,,0+, 
96,45,0,,6+, 
96,45,1,51.98,3+,m
96,46,0,,0+, 
96,46,1,2530.57,8+#,m
96,47,0,,(8)+, 
96,47,1,0.0,(2+),m
96,47,2,2461.4,(13-),n
96,47,3,2686.7,(15+),p
96,47,4,6951.8,(19+),q
96,48,0,,0+, 
96,48,1,6030.0,16+,m
96,48,2,5605.0,"(12-,13-)",n
97,36,0,,3/2+#, 
97,37,0,,3/2+*, 
97,37,1,76.6,"(1/2,3/2)-",m
97,38,0,,1/2+*, 
97,38,1,308.13,7/2+,m
97,38,2,830.83,(9/2+),n
97,39,0,,1/2-*, 
97,39,1,667.52,9/2+*,m
97,39,2,3522.6,(27/2-)*,n
97,40,0,,1/2+*, 
97,40,1,1264.35,7/2+,m
97,41,0,,9/2+, 
97,41,1,743.35,1/2-,m
97,42,0,,5/2+*, 
97,43,0,,9/2+*, 
97,43,1,96.57,1/2-,m
97,44,0,,5/2+, 
97,45,0,,9/2+, 
97,45,1,258.76,1/2-,m
97,46,0,,5/2+#, 
97,47,0,,(9/2)+*, 
97,48,0,,(9/2+), 
97,48,1,1245.1,(1/2-),m
97,48,2,2620.0,(25/2+),n
97,49,0,,9/2+#, 
97,49,1,400.0,1/2-#,m
98,36,0,,0+, 
98,37,0,,(0-)*, 
98,37,1,73.0,(3+)*,m
98,37,2,178.5,(2-),n
98,38,0,,0+, 
98,39,0,,0-*, 
98,39,1,170.78,2-,m
98,39,2,465.7,"(6,7)+",n
98,39,3,496.1,(4)-,p
98,39,4,594.0,"(3-,4-)",q
98,39,5,972.17,(8+),r
98,39,6,1181.5,(10-),x
98,40,0,,0+, 
98,40,1,6601.9,(17-),m
98,41,0,,1+, 
98,41,1,84.0,(5)+,m
98,42,0,,0+, 
98,43,0,,6+*, 
98,43,1,90.77,"(2,3)-",m
98,44,0,,0+, 
98,45,0,,(2)+, 
98,45,1,56.3,(5+),m
98,46,0,,0+, 
98,47,0,,(6)+*, 
98,47,1,107.28,(4+),m
98,48,0,,0+, 
98,48,1,2428.3,(8+),m
98,48,2,6635.0,(12+),n
98,49,0,,(0+), 
98,49,1,820.0,(9+),m
99,36,0,,5/2-#, 
99,37,0,,(3/2+), 
99,38,0,,3/2+*, 
99,39,0,,5/2+*, 
99,39,1,2141.65,(17/2+),m
99,40,0,,1/2+*, 
99,40,1,251.96,7/2+,m
99,41,0,,9/2+*, 
99,41,1,365.27,1/2-,m
99,42,0,,1/2+*, 
99,42,1,97.785,5/2+,m
99,42,2,684.1,11/2-,n
99,43,0,,9/2+*, 
99,43,1,142.6836,1/2-*,m
99,44,0,,5/2+*, 
99,45,0,,1/2-, 
99,45,1,64.4,9/2+*,m
99,46,0,,(5/2)+, 
99,47,0,,(9/2)+*, 
99,47,1,506.2,(1/2)-*,m
99,48,0,,5/2+#, 
99,49,0,,9/2+#, 
99,50,0,,9/2+#, 
100,36,0,,0+, 
100,37,0,,4-#, 
100,38,0,,0+, 
100,38,1,1618.72,(4-),m
100,39,0,,4+*, 
100,39,1,144.0,1+#,m
100,40,0,,0+, 
100,41,0,,1+, 
100,41,1,313.0,(5+),m
100,41,2,347.0,"(4-,5-)",n
100,41,3,734.0,(8-),p
100,42,0,,0+, 
100,43,0,,1+, 
100,43,1,200.67,(4)+,m
100,43,2,243.95,(6)+,n
100,44,0,,0+, 
100,45,0,,1-*, 
100,45,1,74.782,(2)+,m
100,45,2,107.6,(5+),n
100,45,3,219.61,(7+),p
100,46,0,,0+, 
100,47,0,,(5)+*, 
100,47,1,15.52,(2)+,m
100,48,0,,0+, 
100,49,0,,6+#, 
100,50,0,,0+, 
101,37,0,,3/2+#, 
101,38,0,,(5/2-), 
101,39,0,,5/2+*, 
101,39,1,1205.0,13/2-#,m
101,40,0,,3/2+*, 
101,41,0,,5/2+*, 
101,42,0,,1/2+, 
101,42,1,13.497,3/2+,m
101,42,2,57.015,5/2+,n
101,43,0,,9/2+, 
101,43,1,207.526,1/2-,m
101,44,0,,5/2+*, 
101,44,1,527.56,11/2-,m
101,45,0,,1/2-, 
101,45,1,157.32,9/2+*,m
101,46,0,,5/2+, 
101,47,0,,9/2+*, 
101,47,1,274.1,(1/2)-*,m
101,48,0,,5/2+*, 
101,49,0,,(9/2+), 
101,50,0,,(7/2+), 
102,37,0,,(4+), 
102,38,0,,0+, 
102,39,0,,(5-), 
102,39,1,100.0,"(0-,1-)",m
102,40,0,,0+, 
102,41,0,,(4+), 
102,41,1,94.0,(1+),m
102,42,0,,0+, 
102,43,0,,1+, 
102,43,1,50.0,(4+),m
102,44,0,,0+, 
102,45,0,,2-*, 
102,45,1,140.73,6+*,m
102,46,0,,0+, 
102,47,0,,5+*, 
102,47,1,9.4,2+*,m
102,48,0,,0+, 
102,49,0,,(6+), 
102,50,0,,0+, 
102,50,1,2017.0,(6+),m
103,37,0,,3/2+#, 
103,38,0,,5/2+#, 
103,39,0,,5/2+#, 
103,40,0,,(5/2-), 
103,41,0,,5/2+*, 
103,42,0,,3/2+, 
103,43,0,,5/2+, 
103,44,0,,3/2+, 
103,44,1,238.2,11/2-,m
103,45,0,,1/2-*, 
103,45,1,39.753,7/2+,m
103,46,0,,5/2+, 
103,47,0,,7/2+*, 
103,47,1,134.45,1/2-,m
103,48,0,,5/2+*, 
103,49,0,,(9/2+), 
103,49,1,631.7,(1/2-),m
103,50,0,,5/2+#, 
104,38,0,,0+, 
104,39,0,,"(0+,1+)#", 
104,40,0,,0+, 
104,41,0,,(5-), 
104,41,1,9.8,"(0-,1-)",m
104,42,0,,0+, 
104,43,0,,(3-), 
104,43,1,69.7,(5-),m
104,43,2,106.1,4#,n
104,44,0,,0+, 
104,45,0,,1+, 
104,45,1,128.9679,5+,m
104,46,0,,0+, 
104,47,0,,5+*, 
104,47,1,6.9,2+*,m
104,48,0,,0+, 
104,49,0,,(5+)*, 
104,49,1,93.48,(3+),m
104,50,0,,0+, 
104,51,0,,, 
105,38,0,,5/2+#, 
105,39,0,,5/2+#, 
105,40,0,,1/2+#, 
105,41,0,,(5/2+), 
105,42,0,,(5/2-), 
105,43,0,,(3/2-), 
105,44,0,,3/2+, 
105,44,1,20.606,5/2+,m
105,45,0,,7/2+, 
105,45,1,129.742,1/2-,m
105,46,0,,5/2+*, 
105,46,1,489.1,11/2-,m
105,47,0,,1/2-*, 
105,47,1,25.468,7/2+,m
105,48,0,,5/2+*, 
105,48,1,2517.6,(21/2+),m
105,49,0,,9/2+*, 
105,49,1,674.09,(1/2)-,m
105,50,0,,(5/2+), 
105,51,0,,(5/2+), 
105,52,0,,(7/2+), 
106,38,0,,0+, 
106,39,0,,2+#, 
106,40,0,,0+, 
106,41,0,,1-#, 
106,41,1,100.0,(4-),m
106,41,2,204.8,(3+),n
106,42,0,,0+, 
106,43,0,,"(1,2)(+#)", 
106,44,0,,0+, 
106,45,0,,1+, 
106,45,1,132.0,(6)+,m
106,46,0,,0+, 
106,47,0,,1+*, 
106,47,1,89.66,6+*,m
106,48,0,,0+, 
106,49,0,,7+*, 
106,49,1,28.6,(2)+,m
106,50,0,,0+, 
106,51,0,,(2+), 
106,51,1,103.5,(4+),m
106,52,0,,0+, 
107,39,0,,5/2+#, 
107,40,0,,5/2+#, 
107,41,0,,(5/2+), 
107,42,0,,(1/2+), 
107,42,1,65.4,(5/2+),m
107,43,0,,(3/2-), 
107,43,1,30.1,(1/2+),m
107,43,2,65.72,(5/2+),n
107,44,0,,(5/2)+, 
107,45,0,,7/2+, 
107,46,0,,5/2+, 
107,46,1,115.74,1/2+,m
107,46,2,214.6,11/2-,n
107,47,0,,1/2-*, 
107,47,1,93.125,7/2+,m
107,48,0,,5/2+*, 
107,49,0,,9/2+*, 
107,49,1,678.5,1/2-,m
107,50,0,,(5/2+), 
107,51,0,,5/2+#, 
107,52,0,,5/2+#, 
108,39,0,,6-#, 
108,40,0,,0+, 
108,40,1,2074.5,(6+),m
108,41,0,,(2+), 
108,41,1,166.6,6-#,m
108,42,0,,0+, 
108,43,0,,(2)+, 
108,44,0,,0+, 
108,45,0,,1+, 
108,45,1,115.0,(5+),m
108,46,0,,0+, 
108,47,0,,1+*, 
108,47,1,109.466,6+*,m
108,48,0,,0+, 
108,49,0,,7+*, 
108,49,1,29.75,2+*,m
108,50,0,,0+, 
108,51,0,,(4+), 
108,52,0,,0+, 
108,53,0,,1+#, 
108,54,0,,0+, 
109,39,0,,5/2+#, 
109,40,0,,5/2+#, 
109,41,0,,3/2-#, 
109,41,1,312.5,7/2+#,m
109,42,0,,(1/2+), 
109,42,1,69.7,5/2+#,m
109,43,0,,(5/2+), 
109,44,0,,(5/2+), 
109,44,1,96.14,(5/2-),m
109,45,0,,7/2+, 
109,45,1,225.873,3/2+,m
109,46,0,,5/2+, 
109,46,1,113.4,1/2+,m
109,46,2,188.9903,11/2-,n
109,47,0,,1/2-*, 
109,47,1,88.0337,7/2+*,m
109,48,0,,5/2+*, 
109,48,1,59.6,1/2+,m
109,48,2,463.1,11/2-,n
109,49,0,,9/2+*, 
109,49,1,649.79,1/2-,m
109,49,2,2101.86,19/2+,n
109,50,0,,5/2+*, 
109,51,0,,5/2+#, 
109,52,0,,(5/2+), 
109,53,0,,"(1/2+,3/2+)", 
109,54,0,,(7/2+), 
110,40,0,,0+, 
110,41,0,,5+#, 
110,41,1,100.0,2+#,m
110,42,0,,0+, 
110,43,0,,"(2+,3+)", 
110,44,0,,0+, 
110,45,0,,(1+), 
110,45,1,220.0,(6+),m
110,46,0,,0+, 
110,47,0,,1+*, 
110,47,1,1.112,2-,m
110,47,2,117.59,6+*,n
110,48,0,,0+, 
110,49,0,,7+*, 
110,49,1,62.08,2+*,m
110,50,0,,0+, 
110,51,0,,(3+), 
110,52,0,,0+, 
110,53,0,,(1+), 
110,54,0,,0+, 
111,40,0,,5/2+#, 
111,41,0,,3/2-#, 
111,42,0,,1/2+#, 
111,43,0,,5/2+#, 
111,44,0,,5/2+, 
111,45,0,,(7/2+), 
111,46,0,,5/2+, 
111,46,1,172.18,11/2-,m
111,47,0,,1/2-*, 
111,47,1,59.82,7/2+,m
111,48,0,,1/2+*, 
111,48,1,396.214,11/2-*,m
111,49,0,,9/2+*, 
111,49,1,536.99,1/2-,m
111,50,0,,7/2+*, 
111,50,1,254.71,1/2+,m
111,51,0,,(5/2+), 
111,52,0,,(5/2)+, 
111,53,0,,5/2+#, 
111,54,0,,5/2+#, 
112,40,0,,0+, 
112,41,0,,1+#, 
112,42,0,,0+, 
112,43,0,,(2+), 
112,43,1,352.3,,m
112,44,0,,0+, 
112,45,0,,(1+), 
112,45,1,340.0,(6+),m
112,46,0,,0+, 
112,47,0,,2-*, 
112,48,0,,0+, 
112,49,0,,1+*, 
112,49,1,156.592,4+*,m
112,49,2,350.8,(7)+,n
112,49,3,613.82,8-*,p
112,50,0,,0+, 
112,51,0,,(3+), 
112,51,1,825.9,(8-),m
112,52,0,,0+, 
112,53,0,,1+#, 
112,54,0,,0+, 
112,55,0,,1+#, 
113,41,0,,3/2-#, 
113,42,0,,5/2+#, 
113,43,0,,5/2+#, 
113,43,1,114.4,5/2-#,m
113,44,0,,(1/2+), 
113,44,1,131.0,(7/2-),m
113,45,0,,(7/2+), 
113,46,0,,(5/2+), 
113,46,1,81.1,(9/2-),m
113,47,0,,1/2-*, 
113,47,1,43.5,7/2+,m
113,48,0,,1/2+*, 
113,48,1,263.54,11/2-*,m
113,49,0,,9/2+*, 
113,49,1,391.699,1/2-*,m
113,50,0,,1/2+*, 
113,50,1,77.389,7/2+*,m
113,51,0,,5/2+, 
113,52,0,,(7/2+), 
113,53,0,,5/2+#, 
113,54,0,,5/2+#, 
113,54,1,403.6,(11/2-),m
113,55,0,,(3/2+), 
114,41,0,,2-#, 
114,42,0,,0+, 
114,43,0,,5+#, 
114,43,1,160.0,1+#,m
114,44,0,,0+, 
114,45,0,,1+, 
114,45,1,200.0,(7-),m
114,46,0,,0+, 
114,47,0,,1+, 
114,47,1,198.9,(6+),m
114,48,0,,0+, 
114,49,0,,1+, 
114,49,1,190.2682,5+*,m
114,49,2,501.948,8-,n
114,50,0,,0+, 
114,50,1,3087.37,7-,m
114,51,0,,3+, 
114,51,1,495.5,(8-),m
114,52,0,,0+, 
114,53,0,,1+, 
114,53,1,265.9,(7-),m
114,54,0,,0+, 
114,55,0,,(1+), 
114,56,0,,0+, 
115,41,0,,3/2-#, 
115,42,0,,3/2+#, 
115,43,0,,5/2+#, 
115,44,0,,(1/2+), 
115,44,1,82.0,(7/2-),m
115,45,0,,(7/2+), 
115,46,0,,(1/2)+, 
115,46,1,89.21,(7/2-),m
115,47,0,,1/2-, 
115,47,1,41.16,7/2+,m
115,48,0,,1/2+*, 
115,48,1,181.0,11/2-*,m
115,49,0,,9/2+*, 
115,49,1,336.244,1/2-*,m
115,50,0,,1/2+*, 
115,50,1,612.81,7/2+,m
115,50,2,713.64,11/2-,n
115,51,0,,5/2+, 
115,51,1,2796.26,(19/2)-,m
115,52,0,,7/2+, 
115,52,1,10.0,(1/2+),m
115,52,2,280.05,11/2-,n
115,53,0,,5/2+#, 
115,54,0,,(5/2+), 
115,55,0,,9/2+#, 
115,56,0,,5/2+#, 
116,42,0,,0+, 
116,43,0,,2+#, 
116,44,0,,0+, 
116,45,0,,1+, 
116,45,1,200.0,(6-),m
116,46,0,,0+, 
116,47,0,,(0-), 
116,47,1,47.9,(3+),m
116,47,2,129.8,(6-),n
116,48,0,,0+, 
116,49,0,,1+, 
116,49,1,127.267,5+*,m
116,49,2,289.66,8-*,n
116,50,0,,0+, 
116,50,1,2365.975,5-,m
116,50,2,3547.16,10+,n
116,51,0,,3+*, 
116,51,1,93.99,1+,m
116,51,2,390.0,8-*,n
116,52,0,,0+, 
116,53,0,,1+, 
116,53,1,430.4,(7-),m
116,54,0,,0+, 
116,55,0,,(1+), 
116,55,1,100.0,(7+),m
116,56,0,,0+, 
117,42,0,,3/2+#, 
117,43,0,,5/2+#, 
117,44,0,,3/2+#, 
117,44,1,185.0,7/2-#,m
117,45,0,,7/2+#, 
117,45,1,321.2,3/2+#,m
117,46,0,,(3/2+), 
117,46,1,203.3,(9/2-),m
117,47,0,,1/2-#, 
117,47,1,28.6,7/2+#,m
117,48,0,,1/2+*, 
117,48,1,136.4,11/2-*,m
117,49,0,,9/2+*, 
117,49,1,315.303,1/2-*,m
117,50,0,,1/2+*, 
117,50,1,314.58,11/2-*,m
117,50,2,2406.4,(19/2+),n
117,51,0,,5/2+*, 
117,51,1,3130.76,(25/2)+,m
117,51,2,3230.7,(23/2-),n
117,52,0,,1/2+*, 
117,52,1,296.1,(11/2-),m
117,53,0,,(5/2)+, 
117,54,0,,5/2+*, 
117,55,0,,9/2+#, 
117,55,1,150.0,3/2+#,m
117,56,0,,(3/2+), 
117,57,0,,(3/2+), 
117,57,1,,(9/2+),m
118,42,0,,0+, 
118,43,0,,2+#, 
118,44,0,,0+, 
118,45,0,,1+#, 
118,45,1,200.0,6-#,m
118,46,0,,0+, 
118,47,0,,(2-), 
118,47,1,45.79,"(1,2)-",m
118,48,0,,0+, 
118,49,0,,1+, 
118,49,1,100.0,5+*,m
118,49,2,240.0,8-*,n
118,50,0,,0+, 
118,50,1,2574.91,7-,m
118,50,2,3108.06,(10+),n
118,51,0,,1+*, 
118,51,1,50.814,3+,m
118,51,2,250.0,8-*,n
118,52,0,,0+, 
118,53,0,,(2-), 
118,53,1,188.8,(7-),m
118,54,0,,0+, 
118,55,0,,2+*, 
118,55,1,100.0,(7-),m
118,56,0,,0+, 
119,43,0,,5/2+#, 
119,44,0,,3/2+#, 
119,44,1,227.1,,m
119,45,0,,7/2+#, 
119,46,0,,3/2+#, 
119,47,0,,1/2-#, 
119,47,1,20.0,7/2+#,m
119,48,0,,1/2+*, 
119,48,1,146.54,11/2-*,m
119,49,0,,9/2+*, 
119,49,1,311.37,1/2-*,m
119,49,2,654.27,(3/2)+,n
119,49,3,2656.9,(25/2+),p
119,50,0,,1/2+*, 
119,50,1,89.531,11/2-*,m
119,50,2,2127.0,(19/2+),n
119,50,3,2369.0,23/2+,p
119,51,0,,5/2+*, 
119,51,1,2553.6,19/2-,m
119,51,2,2841.7,25/2+,n
119,52,0,,1/2+*, 
119,52,1,260.96,11/2-*,m
119,53,0,,5/2+, 
119,54,0,,5/2+*, 
119,55,0,,9/2+*, 
119,55,1,50.0,3/2+*,m
119,56,0,,(5/2+), 
120,43,0,,3+#, 
120,44,0,,0+, 
120,45,0,,8-#, 
120,45,1,157.2,6#,m
120,46,0,,0+, 
120,47,0,,4(+), 
120,47,1,0.0,"(0-,1-)",m
120,47,2,203.2,7(-),n
120,48,0,,0+, 
120,49,0,,1+, 
120,49,1,50.0,5+*,m
120,49,2,300.0,8-*,n
120,50,0,,0+, 
120,50,1,2481.63,7-,m
120,50,2,2902.22,10+,n
120,51,0,,1+*, 
120,51,1,0.0,8-*,m
120,51,2,78.16,(3+),n
120,51,3,2328.0,13+,p
120,52,0,,0+, 
120,53,0,,2-, 
120,53,1,72.61,3+,m
120,53,2,320.0,(7-),n
120,54,0,,0+, 
120,55,0,,2+*, 
120,55,1,100.0,(7-),m
120,56,0,,0+, 
120,57,0,,1-#, 
121,43,0,,5/2+#, 
121,44,0,,3/2+#, 
121,45,0,,7/2+#, 
121,46,0,,3/2+#, 
121,46,1,135.5,7/2+#,m
121,46,2,160.0,11/2-#,n
121,47,0,,7/2+#, 
121,48,0,,3/2+*, 
121,48,1,214.86,11/2-*,m
121,49,0,,9/2+*, 
121,49,1,313.68,1/2-*,m
121,49,2,2550.0,(25/2+),n
121,50,0,,3/2+*, 
121,50,1,6.31,11/2-*,m
121,50,2,1998.68,19/2+,n
121,50,3,2222.0,23/2+,p
121,50,4,2833.9,27/2-,q
121,51,0,,5/2+*, 
121,51,1,2751.0,(25/2+),m
121,52,0,,1/2+, 
121,52,1,293.974,11/2-,m
121,53,0,,5/2+*, 
121,53,1,2376.9,21/2+#,m
121,54,0,,5/2+*, 
121,55,0,,3/2+*, 
121,55,1,68.5,9/2+*,m
121,56,0,,5/2+*, 
121,57,0,,11/2-#, 
121,58,0,,5/2(+#), 
121,59,0,,(3/2)(+#), 
122,44,0,,0+, 
122,45,0,,7-#, 
122,45,1,271.0,4+#,m
122,46,0,,0+, 
122,47,0,,(3+), 
122,47,1,80.0,(1-),m
122,47,2,80.0,(9-),n
122,47,3,171.0,(1+),p
122,48,0,,0+, 
122,49,0,,1+, 
122,49,1,40.0,5+*,m
122,49,2,290.0,8-*,n
122,50,0,,0+, 
122,50,1,2409.03,7-,m
122,50,2,2765.5,10+,n
122,50,3,4721.2,15-,p
122,51,0,,2-*, 
122,51,1,61.4131,3+,m
122,51,2,137.4726,5+,n
122,51,3,163.5591,8-,p
122,52,0,,0+, 
122,53,0,,1+, 
122,53,1,314.9,7-,m
122,53,2,379.4,7-,n
122,53,3,394.1,(8+),p
122,53,4,444.1,8-,q
122,54,0,,0+, 
122,55,0,,1+*, 
122,55,1,45.87,3+,m
122,55,2,140.0,8-*,n
122,56,0,,0+, 
122,57,0,,(1-), 
123,44,0,,3/2+#, 
123,45,0,,7/2+#, 
123,46,0,,3/2+#, 
123,47,0,,(7/2+)*, 
123,47,1,59.5,(1/2-)*,m
123,47,2,1450.0,,n
123,48,0,,3/2+*, 
123,48,1,143.0,11/2-*,m
123,49,0,,9/2+*, 
123,49,1,327.21,1/2-*,m
123,49,2,2078.1,(17/2-),n
123,50,0,,11/2-*, 
123,50,1,24.6,3/2+*,m
123,50,2,1944.9,19/2+,n
123,50,3,2152.66,23/2+,p
123,50,4,2712.47,27/2-,q
123,51,0,,7/2+*, 
123,51,1,2237.8,19/2-,m
123,51,2,2613.4,23/2+,n
123,52,0,,1/2+*, 
123,52,1,247.47,11/2-,m
123,53,0,,5/2+*, 
123,54,0,,1/2+*, 
123,54,1,185.18,7/2-,m
123,55,0,,1/2+*, 
123,55,1,156.27,11/2-,m
123,55,2,252.0,(9/2+),n
123,56,0,,5/2+*, 
123,56,1,120.95,1/2+#,m
123,57,0,,11/2-#, 
123,58,0,,(5/2)(+#), 
124,44,0,,0+, 
124,45,0,,2+#, 
124,46,0,,0+, 
124,47,0,,(2-), 
124,47,1,50.0,9-#,m
124,47,2,155.6,(1+),n
124,47,3,231.1,(1-),p
124,48,0,,0+, 
124,49,0,,3+*, 
124,49,1,-20.0,8-*,m
124,50,0,,0+, 
124,50,1,2204.62,5-,m
124,50,2,2324.96,7-,n
124,50,3,2656.6,10+,p
124,50,4,4552.4,15-,q
124,51,0,,3-*, 
124,51,1,10.8627,5+,m
124,51,2,36.844,(8)-,n
124,51,3,40.8038,(3+),p
124,52,0,,0+, 
124,53,0,,2-*, 
