A,Z,N,element,species,clean_species,is_platypus,az_order,parity,epsilon,log_hl,exc_keV,transition_energy_keV,correct_deltaJ,correct_lambda,Q_keV,V_coulomb_keV,tracking_bin
259,100,159,Fm,SF,SF,False,0,eo,0.1210879568417198,0.1760912590556812,,0.0,,,,,tracked
259,101,158,Md,SF,SF,False,0,eo,1.1210879568417198,3.760422483423212,,0.0,,,,,tracked
259,102,157,No,alpha,alpha,False,0,eo,2.12108795684172,3.5415792439465807,,0.0,,,7853.999999999997,30269.67725649281,tracked
259,103,156,Lr,alpha,alpha,False,0,eo,3.12108795684172,0.7923916894982539,,0.0,,,8584.014999999996,30572.374029057733,tracked
259,104,155,Rf,alpha,alpha,False,0,eo,4.12108795684172,0.4199557484897578,,0.0,,,9130.150000000003,30875.070801622664,tracked
259,105,154,Db,alpha,alpha,False,0,eo,5.12108795684172,-0.2924298239020636,,0.0,,,9618.8,31177.76757418759,tracked
259,106,153,Sg,alpha,alpha,False,0,eo,6.12108795684172,-0.3957739469155299,,0.0,,,9765.084,31480.46434675252,tracked
259,106,153,Sg,alpha,alpha_iso,False,1,eo,6.12108795684172,-0.645891560852599,87.0,,,,9852.084,31480.46434675252,tracked
260,101,159,Md,SF,SF,False,0,oo,0.7759348394959034,6.380558538396969,,0.0,,,,,tracked
260,102,158,No,SF,SF,False,0,ee,1.7759348394959034,-0.9746941347352298,,0.0,,,,,tracked
260,103,157,Lr,alpha,alpha,False,0,oo,2.775934839495904,2.255272505103306,,0.0,,,8396.083999999999,30540.48624945173,tracked
260,104,156,Rf,SF,SF,False,0,ee,3.775934839495904,-1.6777807052660807,,0.0,,,,,tracked
260,105,155,Db,alpha,alpha,False,0,oo,4.775934839495903,0.1818435879447725,,0.0,,,9501.480999999996,31145.248353401264,tracked
260,106,154,Sg,SF,SF,False,0,ee,5.775934839495903,-2.305394801066431,,0.0,,,,,tracked
260,107,153,Bh,alpha,alpha,False,0,oo,6.775934839495903,-1.3872161432802643,,0.0,,,10400.084,31750.010457350803,tracked
261,103,158,Lr,SF,SF,False,0,eo,2.430909192542998,3.369215857410143,,0.0,,,,,tracked
261,104,157,Rf,SF,SF,False,0,eo,3.430909192542998,0.3222192947339193,,0.0,,,,,tracked
261,104,157,Rf,alpha,alpha_iso,False,1,eo,3.430909192542998,1.869231719730976,70.0,,,,8716.252999999993,30810.814402477903,tracked
261,105,156,Db,SF,SF,False,0,eo,4.430909192542998,0.6720978579357175,,0.0,,,,,tracked
261,106,155,Sg,alpha,alpha,False,0,eo,5.430909192542998,-0.7375489102695706,,0.0,,,9713.699000000004,31414.948018212763,tracked
261,106,155,Sg,IT,IT,False,1,eo,5.430909192542998,-5.031517051446065,100.0,100.0,2.0,2.0,100.0,,tracked
261,107,154,Bh,alpha,alpha,False,0,eo,6.430909192542998,-1.892790030352132,,0.0,,,10500.209,31717.01482608019,tracked
262,104,158,Rf,SF,SF,False,0,ee,3.086010365205709,-0.6020599913279624,,0.0,,,,,tracked
262,104,158,Rf,SF,SF_iso,False,1,ee,3.086010365205709,-1.3279021420642825,1000.0,,,,,,tracked
262,105,157,Db,SF,SF,False,0,oo,4.086010365205709,1.5314789170422551,,0.0,,,,,tracked
262,106,156,Sg,SF,SF,False,0,ee,5.086010365205709,-1.987162775294828,,0.0,,,,,tracked
262,107,155,Bh,alpha,alpha,False,0,oo,6.086010365205709,-1.0757207139381184,,0.0,,,10319.500000000013,31684.17291918892,tracked
262,107,155,Bh,alpha,alpha_iso,False,1,oo,6.086010365205709,-2.0222763947111524,220.0,,,,10539.500000000013,31684.17291918892,tracked
263,104,159,Rf,SF,SF,False,0,eo,2.7412377124988296,2.8195439355418688,,0.0,,,,,tracked
263,105,158,Db,SF,SF,False,0,eo,3.7412377124988296,1.462397997898956,,0.0,,,,,tracked
263,106,157,Sg,alpha,alpha,False,0,eo,4.74123771249883,-0.0268721464003013,,0.0,,,9403.084,31350.040746790917,tracked
263,106,157,Sg,alpha,alpha_iso,False,1,eo,4.74123771249883,-0.3767507096020995,51.0,,,,9454.084,31350.040746790917,tracked
263,108,155,Hs,alpha,alpha,False,0,eo,6.74123771249883,-3.0457574905606752,,0.0,,,10734.084,31952.92614576766,tracked
264,106,158,Sg,SF,SF,False,0,ee,4.396590595155885,-1.1079053973095196,,0.0,,,,,tracked
264,107,157,Bh,alpha,alpha,False,0,oo,5.396590595155885,0.0293837776852096,,0.0,,,9860.084,31618.94513261894,tracked
264,108,156,Hs,alpha,alpha,False,0,ee,6.396590595155885,-0.1549019599857432,,0.0,,,10590.753999999995,31920.077943405788,tracked
265,104,161,Rf,SF,SF,False,0,eo,2.0520683795569425,1.9822712330395684,,0.0,,,,,tracked
265,106,159,Sg,alpha,alpha,False,0,eo,4.052068379556943,0.9637878273455552,,0.0,,,9050.851000000006,31285.732369188405,tracked
265,106,159,Sg,alpha,alpha_iso,False,1,eo,4.052068379556943,1.2148438480476975,-10.0,,,,9040.851000000006,31285.732369188405,tracked
265,107,158,Bh,alpha,alpha,False,0,eo,5.052068379556943,0.0755469613925307,,0.0,,,9662.084,31586.55671889214,tracked
265,108,157,Hs,alpha,alpha,False,0,eo,6.052068379556943,-2.707743928643524,,0.0,,,10470.324999999992,31887.381068595874,tracked
265,108,157,Hs,alpha,alpha_iso,False,1,eo,6.052068379556943,-3.443697499232833,229.0,,,,10699.324999999992,31887.381068595874,tracked
266,103,163,Lr,SF,SF,False,0,oo,0.7076704376576402,4.898725181589493,,0.0,,,,,tracked
266,105,161,Db,alpha,alpha,False,0,oo,2.70767043765764,3.681241237375587,,0.0,,,8210.083999999999,30953.28235217584,tracked
266,106,160,Sg,SF,SF,False,0,ee,3.70767043765764,-0.4089353929735008,,0.0,,,,,tracked
266,107,159,Bh,alpha,alpha,False,0,oo,4.70767043765764,1.0253058652647702,,0.0,,,9426.084,31554.31696095595,tracked
266,108,158,Hs,alpha,alpha,False,0,ee,5.70767043765764,-2.5228787452803374,,0.0,,,10345.687000000002,31854.83426534601,tracked
266,108,158,Hs,alpha,alpha_iso,False,1,ee,5.70767043765764,-0.5528419686577808,1100.0,,,,11445.687000000002,31854.83426534601,tracked
266,109,157,Mt,alpha,alpha,False,0,oo,6.70767043765764,-2.6989700043360187,,0.0,,,10995.64599999999,32155.351569736064,tracked
266,109,157,Mt,alpha,alpha_iso,False,1,oo,6.70767043765764,-2.221848749616356,1140.0,,,,12135.64599999999,32155.351569736064,tracked
267,104,163,Rf,SF,SF,False,0,eo,1.363396146919385,3.9542425094393248,,0.0,,,,,tracked
267,105,162,Db,SF,SF,False,0,eo,2.363396146919385,3.857332496431269,,0.0,,,,,tracked
267,106,161,Sg,SF,SF,False,0,eo,3.363396146919385,2.03342375548695,,0.0,,,,,tracked
267,107,160,Bh,alpha,alpha,False,0,eo,4.363396146919385,1.3424226808222062,,0.0,,,9230.084,31522.22462960119,tracked
267,108,159,Hs,alpha,alpha,False,0,eo,5.363396146919385,-1.259637310505756,,0.0,,,10038.084,31822.43629274025,tracked
267,108,159,Hs,alpha,alpha_iso,False,1,eo,5.363396146919385,-3.00436480540245,39.0,,,,10077.084,31822.43629274025,tracked
267,110,157,Ds,alpha,alpha,False,0,eo,7.363396146919385,-5.0,,0.0,,,11777.084,32422.859619018367,tracked
268,105,163,Db,SF,SF,False,0,oo,2.019244890240614,5.018700498666243,,0.0,,,,,tracked
268,108,160,Hs,alpha,alpha,False,0,ee,5.019244890240614,0.146128035678238,,0.0,,,9760.084,31790.18592470198,tracked
268,109,159,Mt,alpha,alpha,False,0,oo,6.019244890240614,-1.6382721639824072,,0.0,,,10768.084,32090.09333908596,tracked
269,106,163,Sg,alpha,alpha,False,0,eo,2.675216055889237,2.4771212547196626,,0.0,,,8577.083999999999,31158.872856370115,tracked
269,108,161,Hs,alpha,alpha,False,0,eo,4.675216055889237,1.1760912590556811,,0.0,,,9274.084,31758.081949761847,tracked
269,110,159,Ds,alpha,alpha,False,0,eo,6.675216055889237,-3.638272163982596,,0.0,,,11509.510000000006,32357.291043153586,tracked
270,105,165,Db,SF,SF,False,0,oo,1.331309037436185,3.786751422145562,,0.0,,,,,tracked
