Isotope,A,Q_actual,Q_backbone,Stress,BE/A,Virial
C-11,11,4.878904634590524,6.101889971089956,-1.2229853364994323,5.430662675337358,0.2300872802734375
C-12,12,-6.386622846414242,6.574970842931023,-12.961593689345264,4.3393300374348955,0.0489654541015625
C-13,13,0.5216667195045916,7.043763025775149,-6.522096306270558,4.215580866887019,-0.4905548095703125
C-14,14,-3.0632019078013433,7.5087016773670054,-10.571903585168348,4.2943300519670755,0.2886505126953125
