Isotope,A,M_soliton,Q_backbone,Stress,R_ratio,BE/A,Virial,Type
C-11,11,26.523754119873047,6.101889971089956,-0.1018899710899559,2.735546112060547,5.430662675337358,0.2300872802734375,Proton-rich (β+)
C-12,12,35.15128707885742,6.574970842931023,-0.5749708429310232,2.2498779296875,4.3393300374348955,0.0489654541015625,Magic (stable)
C-13,13,35.46073913574219,7.043763025775149,-1.0437630257751493,2.0224337577819824,4.215580866887019,-0.4905548095703125,Stable (minor)
C-14,14,40.24051284790039,7.5087016773670054,-1.5087016773670054,1.8792719841003418,4.2943300519670755,0.2886505126953125,Neutron-rich (β-)
