Z,N,A,element,is_estimated,mass_excess_keV,mass_excess_unc_keV,mass_excess_MeV,mass_excess_unc_MeV,E_exp_MeV,E_exp_unc_MeV,BE_per_A_MeV
40,47,87,Zr,False,-79347.147,4.146,-79.34714699999999,0.0041459999999999995,80960.63976354,0.0041459999999999995,8.6236545
41,46,87,Nb,False,-73874.493,6.802,-73.874493,0.006802,80966.11241754,0.006802,8.5517579
42,45,87,Mo,False,-66884.817,2.857,-66.884817,0.002857,80973.10209354,0.002857,8.4624243
43,44,87,Tc,False,-57690.052,4.192,-57.690052,0.004192,80982.29685854,0.004192,8.3477449
44,43,87,Ru,True,-45730.0,400.0,-45.73,0.4,80994.25691054,0.4,8.201
31,57,88,Ga,True,-22390.0,500.0,-22.39,0.5,81949.09101296,0.5,8.05
32,56,88,Ge,True,-39520.0,400.0,-39.52,0.4,81931.96101295999,0.4,8.236
33,55,88,As,True,-50450.0,200.0,-50.45,0.2,81921.03101296,0.2,8.351
34,54,88,Se,False,-63884.203,3.357,-63.884203,0.003357,81907.59680996,0.003357,8.495004499999999
35,53,88,Br,False,-70715.967,3.171,-70.715967,0.0031709999999999998,81900.76504596,0.0031709999999999998,8.563747900000001
36,52,88,Kr,False,-79691.295,2.608,-79.691295,0.002608,81891.78971796,0.002608,8.6568499
37,51,88,Rb,False,-82609.004,0.159,-82.609004,0.00015900000000000002,81888.87200896,0.00015900000000000002,8.681115400000001
38,50,88,Sr,False,-87921.62876,0.00561,-87.92162876,5.6100000000000005e-06,81883.5593842,5.6100000000000005e-06,8.732595799999999
39,49,88,Y,False,-84299.029,1.5,-84.29902899999999,0.0015,81887.18198395999,0.0015,8.6825396
40,48,88,Zr,False,-83628.874,5.403,-83.628874,0.005403,81887.85213895999,0.005403,8.6660339
41,47,88,Nb,False,-76171.555,57.808,-76.171555,0.057808,81895.30945796,0.057808,8.5724013
42,46,88,Mo,False,-72686.553,3.819,-72.686553,0.003819,81898.79445995999,0.003819,8.5239087
43,45,88,Tc,False,-61670.301,4.099,-61.670301,0.004099,81909.81071195999,0.004099,8.3898338
44,44,88,Ru,True,-54340.0,300.0,-54.34,0.3,81917.14101296,0.3,8.298
45,43,88,Rh,True,-36860.0,400.0,-36.86,0.4,81934.62101296,0.4,8.09
32,57,89,Ge,True,-33040.0,400.0,-33.04,0.4,82869.93511538001,0.4,8.161
33,56,89,As,True,-46530.0,300.0,-46.53,0.3,82856.44511538,0.3,8.304
34,55,89,Se,False,-58992.398,3.729,-58.992398,0.003729,82843.98271738,0.003729,8.4352799
35,54,89,Br,False,-68274.271,3.264,-68.274271,0.003264,82834.70084438,0.003264,8.530780199999999
36,53,89,Kr,False,-76535.795,2.142,-76.535795,0.002142,82826.43932038,0.002142,8.6148158
37,52,89,Rb,False,-81712.399,5.427,-81.712399,0.0054269999999999995,82821.26271638,0.0054269999999999995,8.6641895
38,51,89,Sr,False,-86209.026,0.092,-86.209026,9.2e-05,82816.76608938,9.2e-05,8.705923
39,50,89,Y,False,-87711.202,0.339,-87.711202,0.000339,82815.26391338,0.000339,8.714011000000001
40,49,89,Zr,False,-84877.974,2.78,-84.87797400000001,0.00278,82818.09714138,0.00278,8.673386500000001
41,48,89,Nb,False,-80625.755,23.63,-80.625755,0.023629999999999998,82822.34936038,0.023629999999999998,8.6168184
42,47,89,Mo,False,-75014.944,3.912,-75.014944,0.003912,82827.96017138001,0.003912,8.5449851
43,46,89,Tc,False,-67394.857,3.819,-67.394857,0.003819,82835.58025838,0.003819,8.450575800000001
44,45,89,Ru,False,-58369.424,24.219,-58.369424,0.024219,82844.60569138,0.024219,8.340376000000001
45,44,89,Rh,True,-45651.0,361.0,-45.651,0.361,82857.32411538,0.361,8.189
32,58,90,Ge,True,-28470.0,500.0,-28.47,0.5,83805.9992178,0.5,8.109
33,57,90,As,True,-40990.0,400.0,-40.99,0.4,83793.47921779999,0.4,8.24
34,56,90,Se,False,-55800.223,329.749,-55.800222999999995,0.329749,83778.6689948,0.329749,8.3957672
35,55,90,Br,False,-64000.306,3.357,-64.000306,0.003357,83770.4689118,0.003357,8.4781865
36,54,90,Kr,False,-74959.259,1.863,-74.959259,0.001863,83759.5099588,0.001863,8.591259899999999
37,53,90,Rb,False,-79365.573,6.452,-79.365573,0.006452,83755.1036448,0.006452,8.6315262
38,52,90,Sr,False,-85950.945,1.449,-85.950945,0.001449,83748.51827279999,0.001449,8.6960043
39,51,90,Y,False,-86496.912,0.354,-86.496912,0.000354,83747.9723058,0.000354,8.6933778
40,50,90,Zr,False,-88772.547,0.118,-88.772547,0.000118,83745.6966708,0.000118,8.7099699
41,49,90,Nb,False,-82661.531,3.317,-82.661531,0.003317,83751.80768679999,0.003317,8.633377000000001
42,48,90,Mo,False,-80172.514,3.463,-80.17251399999999,0.003463,83754.29670379999,0.003463,8.5970285
43,47,90,Tc,False,-70724.696,1.025,-70.724696,0.0010249999999999999,83763.74452179999,0.0010249999999999999,8.483360000000001
44,46,90,Ru,False,-64883.801,3.73,-64.883801,0.00373,83769.5854168,0.00373,8.4097684
45,45,90,Rh,True,-51634.0,200.0,-51.634,0.2,83782.83521779999,0.2,8.254
46,44,90,Pd,True,-39710.0,400.0,-39.71,0.4,83794.75921779999,0.4,8.113
33,58,91,As,True,-36500.0,400.0,-36.5,0.4,84729.46332022,0.4,8.189
34,57,91,Se,False,-50580.13,433.145,-50.58013,0.433145,84715.38319022,0.433145,8.3348382
35,56,91,Br -,False,-61107.301,3.543,-61.107301,0.003543,84704.85601922001,0.003543,8.441924199999999
36,55,91,Kr,False,-70973.974,2.236,-70.973974,0.002236,84694.98934622001,0.002236,8.5417519
37,54,91,Rb,False,-77745.049,7.801,-77.745049,0.007801,84688.21827122,0.007801,8.607562099999999
38,53,91,Sr,False,-83651.95,5.453,-83.65195,0.005453,84682.31137022,0.005453,8.663875899999999
39,52,91,Y,False,-86351.321,1.843,-86.351321,0.001843,84679.61199922001,0.001843,8.6849421
40,51,91,Zr,False,-87895.592,0.095,-87.89559200000001,9.5e-05,84678.06772822,9.5e-05,8.693314899999999
41,50,91,Nb,False,-86638.028,2.926,-86.638028,0.002926,84679.32529222,0.002926,8.670898300000001
42,49,91,Mo,False,-82208.834,6.238,-82.208834,0.0062380000000000005,84683.75448622,0.0062380000000000005,8.6136286
43,48,91,Tc,False,-75986.657,2.363,-75.98665700000001,0.002363,84689.97666322,0.002363,8.5366558
44,47,91,Ru,False,-68239.833,2.221,-68.239833,0.002221,84697.72348722,0.002221,8.4429287
45,46,91,Rh,True,-58570.0,298.0,-58.57,0.298,84707.39332022,0.298,8.328
46,45,91,Pd,True,-46170.0,423.0,-46.17,0.423,84719.79332022001,0.423,8.183
33,59,92,As,True,-30380.0,500.0,-30.38,0.5,85667.07742264,0.5,8.121
34,58,92,Se,True,-46724.0,400.0,-46.724,0.4,85650.73342264,0.4,8.29
35,57,92,Br,False,-56232.812,6.709,-56.232811999999996,0.006709,85641.22461064,0.006709,8.3849123
36,56,92,Kr,False,-68769.329,2.701,-68.769329,0.0027010000000000003,85628.68809364,0.0027010000000000003,8.512675
37,55,92,Rb,False,-74772.45,6.123,-74.77244999999999,0.006123,85622.68497264,0.006123,8.5694225
38,54,92,Sr,False,-82867.371,3.423,-82.867371,0.003423,85614.59005164,0.003423,8.648907
39,53,92,Y,False,-84816.494,9.127,-84.816494,0.009127000000000001,85612.64092864,0.009127000000000001,8.6615894
40,52,92,Zr,False,-88459.024,0.094,-88.459024,9.4e-05,85608.99839864,9.4e-05,8.692678299999999
41,51,92,Nb,False,-86453.29,1.784,-86.45329,0.001784,85611.00413264,0.001784,8.6623731
42,50,92,Mo,False,-86808.587,0.157,-86.808587,0.000157,85610.64883564,0.000157,8.6577312
43,49,92,Tc,False,-78925.703,3.102,-78.925703,0.0031019999999999997,85618.53171964,0.0031019999999999997,8.563544
44,48,92,Ru,False,-74301.211,2.718,-74.301211,0.002718,85623.15621164,0.002718,8.504774
45,47,92,Rh,False,-62999.095,4.378,-62.999095000000004,0.004378,85634.45832764,0.004378,8.3734211
46,46,92,Pd,False,-54779.095,345.028,-54.779095,0.345028,85642.67832764,0.345028,8.2755695
47,45,92,Ag,True,-37530.0,400.0,-37.53,0.4,85659.92742264,0.4,8.08
34,59,93,Se,True,-40860.0,400.0,-40.86,0.4,86588.09152506,0.4,8.225
35,58,93,Br,False,-52890.235,430.816,-52.890235000000004,0.430816,86576.06129006,0.430816,8.345598599999999
36,57,93,Kr,False,-64136.002,2.515,-64.136002,0.0025150000000000003,86564.81552306,0.0025150000000000003,8.4581085
37,56,93,Rb,False,-72619.9,7.83,-72.6199,0.00783,86556.33162505999,0.00783,8.5409209
38,55,93,Sr,False,-80085.844,7.554,-80.085844,0.007554,86548.86568106,0.007554,8.6127875
39,54,93,Y,False,-84227.155,10.488,-84.227155,0.010487999999999999,86544.72437006,0.010487999999999999,8.6489054
40,53,93,Zr,False,-87122.028,0.456,-87.122028,0.000456,86541.82949706,0.000456,8.6716207
41,52,93,Nb,False,-87212.84,1.49,-87.21284,0.00149,86541.73868506,0.00149,8.6641849
42,51,93,Mo,False,-86807.079,0.181,-86.807079,0.00018099999999999998,86542.14444605999,0.00018099999999999998,8.6514095
43,50,93,Tc,False,-83606.116,1.012,-83.606116,0.001012,86545.34540906,0.001012,8.6085782
44,49,93,Ru,False,-77216.723,2.065,-77.216723,0.002065,86551.73480205999,0.002065,8.5314627
45,48,93,Rh,False,-69011.81,2.629,-69.01181,0.002629,86559.93971506,0.002629,8.4348255
46,47,93,Pd,False,-58981.81,370.009,-58.981809999999996,0.37000900000000003,86569.96971506,0.37000900000000003,8.3185637
47,46,93,Ag,True,-46400.0,401.0,-46.4,0.401,86582.55152506,0.401,8.175
34,60,94,Se,True,-36803.0,500.0,-36.803,0.5,87523.64262748,0.5,8.18
35,59,94,Br,True,-47650.0,200.0,-47.65,0.2,87512.79562748001,0.2,8.287
36,58,94,Kr,False,-61347.78,12.109,-61.34778,0.012109,87499.09784748,0.012109,8.4243318
37,57,94,Rb,False,-68562.791,2.029,-68.562791,0.002029,87491.88283648,0.002029,8.4927644
38,56,94,Sr,False,-78845.721,1.663,-78.84572100000001,0.001663,87481.59990648,0.001663,8.5938344
39,55,94,Y,False,-82351.473,6.38,-82.351473,0.00638,87478.09415448,0.00638,8.622806800000001
40,54,94,Zr,False,-87269.332,0.164,-87.26933199999999,0.000164,87473.17629548,0.000164,8.666801600000001
41,53,94,Nb,False,-86369.063,1.491,-86.369063,0.0014910000000000001,87474.07656448,0.0014910000000000001,8.648901400000002
42,52,94,Mo,False,-88414.079,0.141,-88.414079,0.00014099999999999998,87472.03154848001,0.00014099999999999998,8.6623341
43,51,94,Tc,False,-84158.332,4.071,-84.158332,0.004071,87476.28729548,0.004071,8.608737300000001
44,50,94,Ru,False,-82583.602,3.143,-82.583602,0.003143,87477.86202548,0.003143,8.583662
45,49,94,Rh,False,-72907.623,3.379,-72.907623,0.003379,87487.53800448,0.003379,8.4724033
46,48,94,Pd,False,-66102.281,4.287,-66.102281,0.004287,87494.34334648,0.004287,8.3916832
47,47,94,Ag,True,-52402.0,400.0,-52.402,0.4,87508.04362748,0.4,8.238
48,46,94,Cd,True,-40440.0,500.0,-40.44,0.5,87520.00562748,0.5,8.102
34,61,95,Se,True,-30460.0,500.0,-30.46,0.5,88461.47972989999,0.5,8.112
35,60,95,Br,True,-43850.0,300.0,-43.85,0.3,88448.08972989999,0.3,8.245
36,59,95,Kr,False,-56158.92,18.63,-56.158919999999995,0.01863,88435.7808099,0.01863,8.3659963
37,58,95,Rb,False,-65890.307,20.245,-65.890307,0.020245000000000003,88426.0494229,0.020245000000000003,8.460196700000001
38,57,95,Sr,False,-75117.284,5.81,-75.117284,0.005809999999999999,88416.82244589999,0.005809999999999999,8.549087499999999
39,56,95,Y,False,-81207.937,6.779,-81.207937,0.006779,88410.7317929,0.006779,8.6049644
40,55,95,Zr,False,-85659.94,0.869,-85.65994,0.000869,88406.2797899,0.000869,8.6435924
41,54,95,Nb,False,-86786.272,0.508,-86.786272,0.000508,88405.1534579,0.000508,8.647213299999999
42,53,95,Mo,False,-87711.872,0.123,-87.711872,0.000123,88404.2278579,0.000123,8.6487212
43,52,95,Tc,False,-86021.355,5.08,-86.021355,0.00508,88405.9183749,0.00508,8.6226911
44,51,95,Ru,False,-83457.759,9.502,-83.45775900000001,0.009502,88408.4819709,0.009502,8.587470600000001
45,50,95,Rh,False,-78340.616,3.886,-78.340616,0.003886,88413.5991139,0.003886,8.5253707
46,49,95,Pd,False,-69965.913,3.031,-69.965913,0.0030310000000000003,88421.97381689999,0.0030310000000000003,8.4289807
47,48,95,Ag,True,-59906.0,400.0,-59.906,0.4,88432.0337299,0.4,8.315
48,47,95,Cd,True,-47056.0,566.0,-47.056,0.566,88444.8837299,0.566,8.171
35,61,96,Br,True,-38210.0,300.0,-38.21,0.3,89385.22383232,0.3,8.184
36,60,96,Kr,False,-53081.682,19.277,-53.081682,0.019277000000000002,89370.35215032,0.019277000000000002,8.3308721
37,59,96,Rb,False,-61354.351,3.353,-61.354351,0.003353,89362.07948132,0.003353,8.4088963
38,58,96,Sr,False,-72918.248,8.466,-72.918248,0.008466,89350.51558432,0.008466,8.5212041
39,57,96,Y,False,-78329.986,6.075,-78.329986,0.0060750000000000005,89345.10384632001,0.0060750000000000005,8.5694269
40,56,96,Zr,False,-85438.86,0.114,-85.43886,0.000114,89337.99497232001,0.000114,8.6353283
41,55,96,Nb,False,-85602.83,0.147,-85.60283,0.000147,89337.83100232,0.000147,8.6288868
42,54,96,Mo,False,-88794.889,0.12,-88.794889,0.00011999999999999999,89334.63894332001,0.00011999999999999999,8.653988
43,53,96,Tc,False,-85821.648,5.146,-85.821648,0.0051459999999999995,89337.61218432001,0.0051459999999999995,8.6148673
44,52,96,Ru,False,-86080.385,0.17,-86.08038499999999,0.00017,89337.35344732001,0.00017,8.609413
45,51,96,Rh,False,-79687.732,10.001,-79.687732,0.010001,89343.74610032,0.010001,8.5346735
46,50,96,Pd,False,-76183.42,4.194,-76.18342,0.004194,89347.25041232,0.004194,8.490020699999999
47,49,96,Ag,False,-64511.645,90.084,-64.511645,0.090084,89358.92218732,0.090084,8.3602903
48,48,96,Cd,True,-55572.0,410.0,-55.572,0.41,89367.86183232,0.41,8.259
49,47,96,In,True,-38090.0,500.0,-38.09,0.5,89385.34383232001,0.5,8.069
35,62,97,Br,True,-34000.0,400.0,-34.0,0.4,90320.92793474,0.4,8.14
36,61,97,Kr,False,-47423.499,130.409,-47.42349900000001,0.130409,90307.50443574,0.130409,8.269864499999999
37,60,97,Rb,False,-58519.145,1.912,-58.519144999999995,0.0019119999999999999,90296.40878974,0.0019119999999999999,8.3761872
38,59,97,Sr,False,-68580.674,3.385,-68.580674,0.003385,90286.34726074,0.003385,8.471848900000001
39,58,97,Y,False,-76115.455,6.708,-76.115455,0.006708,90278.81247974,0.006708,8.5414616
40,57,97,Zr,False,-82936.693,0.121,-82.936693,0.000121,90271.99124174,0.000121,8.6037182
41,56,97,Nb,False,-85602.797,4.244,-85.60279700000001,0.0042439999999999995,90269.32513774,0.0042439999999999995,8.6231384
42,55,97,Mo,False,-87544.7,0.165,-87.54469999999999,0.000165,90267.38323474,0.000165,8.6350926
43,54,97,Tc,False,-87224.436,4.118,-87.224436,0.004118,90267.70349874,0.004118,8.6237254
44,53,97,Ru,False,-86120.564,2.763,-86.120564,0.002763,90268.80737074,0.002763,8.6042799
45,52,97,Rh,False,-82597.564,35.463,-82.597564,0.035463,90272.33037074,0.035463,8.5598949
46,51,97,Pd,False,-77805.852,4.844,-77.805852,0.004844,90277.12208274,0.004844,8.5024303
47,50,97,Ag,False,-70904.027,12.016,-70.904027,0.012016,90284.02390774,0.012016,8.4232121
48,49,97,Cd,False,-60734.027,420.172,-60.734027000000005,0.42017200000000005,90294.19390774,0.42017200000000005,8.310301299999999
49,48,97,In,True,-47390.0,401.0,-47.39,0.401,90307.53793474,0.401,8.165
35,63,98,Br,True,-28050.0,400.0,-28.05,0.4,91258.37203715999,0.4,8.078
36,62,98,Kr,True,-44120.0,300.0,-44.12,0.3,91242.30203716,0.3,8.234
37,61,98,Rb,False,-54369.152,16.083,-54.369152,0.016083,91232.05288516,0.016083,8.330729400000001
38,60,98,Sr,False,-66422.389,3.226,-66.422389,0.003226,91219.99964816,0.003226,8.4457385
39,59,98,Y  p,False,-72288.748,7.919,-72.28874800000001,0.007918999999999999,91214.13328915999,0.007918999999999999,8.4976162
40,58,98,Zr,False,-81281.757,8.445,-81.281757,0.008445000000000001,91205.14028015999,0.008445000000000001,8.5813984
41,57,98,Nb,False,-83524.612,5.001,-83.52461199999999,0.005001,91202.89742516,0.005001,8.5963016
42,56,98,Mo,False,-88115.98,0.174,-88.11598,0.000174,91198.30605715999,0.000174,8.635169099999999
43,55,98,Tc,False,-86432.214,3.38,-86.432214,0.0033799999999999998,91199.98982316,0.0033799999999999998,8.6100047
44,54,98,Ru,False,-88224.871,6.463,-88.224871,0.006463,91198.19716616,0.006463,8.620314
45,53,98,Rh,False,-83175.219,11.906,-83.175219,0.011906,91203.24681816,0.011906,8.5608038
46,52,98,Pd,False,-81320.985,4.742,-81.32098500000001,0.004742,91205.10105216,0.004742,8.5338999
47,51,98,Ag,False,-73066.425,32.907,-73.06642500000001,0.032907,91213.35561216,0.032907,8.4416866
48,50,98,Cd,False,-67636.425,51.797,-67.636425,0.051796999999999996,91218.78561215999,0.051796999999999996,8.3782953
49,49,98,In,True,-53906.0,304.0,-53.906,0.304,91232.51603715999,0.304,8.23
36,63,99,Kr,True,-38400.0,400.0,-38.4,0.4,92179.51613958001,0.4,8.175
37,62,99,Rb,False,-51121.15,4.031,-51.12115,0.004031,92166.79498958,0.004031,8.295301
38,61,99,Sr,False,-62518.527,4.737,-62.518527,0.004737,92155.39761258001,0.004737,8.4025235
39,60,99,Y,False,-70643.73,6.615,-70.64372999999999,0.006615,92147.27240958001,0.006615,8.4766938
40,59,99,Zr,False,-77616.67,10.499,-77.61667,0.010499000000000001,92140.29946958,0.010499000000000001,8.539225
41,58,99,Nb,False,-82335.344,12.004,-82.33534399999999,0.012003999999999999,92135.58079558,0.012003999999999999,8.5789859
42,57,99,Mo,False,-85970.106,0.229,-85.970106,0.000229,92131.94603358001,0.000229,8.6077982
43,56,99,Tc,False,-87327.869,0.908,-87.327869,0.0009080000000000001,92130.58827058,0.0009080000000000001,8.6136105
44,55,99,Ru,False,-87625.385,0.343,-87.625385,0.00034300000000000004,92130.29075458,0.00034300000000000004,8.6087132
45,54,99,Rh,False,-85584.522,19.451,-85.58452199999999,0.019451,92132.33161758,0.019451,8.580195900000001
46,53,99,Pd,False,-82182.861,5.107,-82.182861,0.005107,92135.73327858001,0.005107,8.5379332
47,52,99,Ag,False,-76712.483,6.265,-76.71248299999999,0.006265,92141.20365658001,0.006265,8.4747744
48,51,99,Cd,False,-69931.132,1.584,-69.93113199999999,0.0015840000000000001,92147.98500758,0.0015840000000000001,8.3983734
49,50,99,In,True,-61376.0,298.0,-61.376,0.298,92156.54013958,0.298,8.304
50,49,99,Sn,True,-47976.0,582.0,-47.976,0.582,92169.94013958001,0.582,8.161
36,64,100,Kr,True,-34470.0,400.0,-34.47,0.4,93114.940242,0.4,8.134
37,63,100,Rb,False,-46265.884,13.124,-46.265884,0.013124,93103.144358,0.013124,8.2445085
38,62,100,Sr,False,-59817.505,6.918,-59.817505,0.0069180000000000005,93089.592737,0.0069180000000000005,8.3722012
39,61,100,Y,False,-67321.241,11.179,-67.321241,0.011179,93082.089001,0.011179,8.4394151
40,60,100,Zr,False,-76372.736,8.143,-76.372736,0.008143000000000001,93073.037506,0.008143000000000001,8.522106599999999
41,59,100,Nb,False,-79791.246,7.976,-79.791246,0.007976,93069.618996,0.007976,8.5484683
42,58,100,Mo,False,-86193.029,0.301,-86.193029,0.000301,93063.217213,0.000301,8.6046626
43,57,100,Tc,False,-86020.951,1.351,-86.020951,0.001351,93063.389291,0.001351,8.595118399999999
44,56,100,Ru,False,-89227.391,0.342,-89.227391,0.000342,93060.182851,0.000342,8.6193593
45,55,100,Rh,False,-85591.13,18.125,-85.59113,0.018125,93063.819112,0.018125,8.5751732
46,54,100,Pd,False,-85212.672,17.637,-85.21267200000001,0.017637,93064.19757,0.017637,8.5635652
47,53,100,Ag,False,-78137.969,5.0,-78.137969,0.005,93071.272273,0.005,8.4849947
48,52,100,Cd,False,-74194.595,1.677,-74.194595,0.001677,93075.215647,0.001677,8.437737499999999
49,51,100,In,False,-64178.146,2.236,-64.178146,0.002236,93085.23209599999,0.002236,8.3297495
50,50,100,Sn,False,-57148.146,240.01,-57.148146000000004,0.24001,93092.26209599999,0.24001,8.251626
36,65,101,Kr,True,-28580.0,500.0,-28.58,0.5,94052.32434441999,0.5,8.075
37,64,101,Rb,False,-42567.417,20.493,-42.567417,0.020492999999999997,94038.33692742,0.020492999999999997,8.2061753
38,63,101,Sr,False,-55324.914,8.48,-55.324914,0.00848,94025.57943042,0.00848,8.324741099999999
39,62,101,Y,False,-65054.787,7.08,-65.05478699999999,0.00708,94015.84955741999,0.00708,8.4133305
40,61,101,Zr,False,-73160.987,8.332,-73.16098699999999,0.008332,94007.74335742,0.008332,8.485843899999999
41,60,101,Nb,False,-78891.488,3.749,-78.891488,0.003749,94002.01285642,0.003749,8.5348355
42,59,101,Mo,False,-83519.952,0.308,-83.519952,0.000308,93997.38439241999,0.000308,8.5729159
43,58,101,Tc,False,-86344.593,24.004,-86.34459299999999,0.024004,93994.55975141999,0.024004,8.5931366
44,57,101,Ru,False,-87958.113,0.413,-87.958113,0.00041299999999999996,93992.94623141999,0.00041299999999999996,8.601366
45,56,101,Rh,False,-87412.428,5.841,-87.412428,0.005841,93993.49191642,0.005841,8.588217199999999
46,55,101,Pd,False,-85432.145,4.588,-85.432145,0.004588,93995.47219942,0.004588,8.5608644
47,54,101,Ag,False,-81334.384,4.838,-81.334384,0.004838,93999.56996041999,0.004838,8.512546500000001
48,53,101,Cd,False,-75836.466,1.49,-75.836466,0.00149,94005.06787842,0.00149,8.4503657
49,52,101,In,False,-68544.901,11.662,-68.544901,0.011662,94012.35944341999,0.011662,8.370426
50,51,101,Sn,False,-60305.624,300.005,-60.305624,0.300005,94020.59872041999,0.300005,8.281103
37,65,102,Rb,False,-37252.312,82.903,-37.252311999999996,0.082903,94975.14613484,0.082903,8.1527443
38,64,102,Sr,False,-52159.311,67.068,-52.159311,0.067068,94960.23913584,0.067068,8.2912213
39,63,102,Y,False,-61172.641,4.081,-61.172641000000006,0.004081,94951.22580584,0.004081,8.3719172
40,62,102,Zr,False,-71581.427,8.758,-71.58142699999999,0.008757999999999998,94940.81701984,0.008757999999999998,8.466294
41,61,102,Nb,False,-76298.265,2.511,-76.298265,0.002511,94936.10018184,0.002511,8.5048675
42,60,102,Mo,False,-83560.866,8.305,-83.56086599999999,0.008305,94928.83758084,0.008305,8.5683994
43,59,102,Tc,False,-84572.921,9.166,-84.57292100000001,0.009166,94927.82552584,0.009166,8.570651400000001
44,58,102,Ru,False,-89106.435,0.416,-89.106435,0.000416,94923.29201184,0.000416,8.6074275
45,57,102,Rh,False,-86783.316,6.41,-86.783316,0.00641,94925.61513084,0.00641,8.5769818
46,56,102,Pd,False,-87902.963,0.419,-87.902963,0.000419,94924.49548384,0.000419,8.580288699999999
47,55,102,Ag,False,-82246.702,8.171,-82.246702,0.008171,94930.15174484,0.008171,8.517165
48,54,102,Cd,False,-79659.702,1.662,-79.65970200000001,0.0016619999999999998,94932.73874484,0.0016619999999999998,8.4841322
49,53,102,In,False,-70694.896,4.573,-70.694896,0.004573000000000001,94941.70355084,0.004573000000000001,8.3885719
50,52,102,Sn,False,-64934.896,100.105,-64.934896,0.100105,94947.46355084,0.100105,8.3244313
51,51,102,Sb,True,-51100.0,400.0,-51.1,0.4,94961.29844684,0.4,8.181
37,66,103,Rb,True,-33160.0,400.0,-33.16,0.4,95910.73254925999,0.4,8.112
38,65,103,Sr,True,-47280.0,200.0,-47.28,0.2,95896.61254926,0.2,8.242
39,64,103,Y,False,-58457.034,11.206,-58.457034,0.011205999999999999,95885.43551525999,0.011205999999999999,8.3426336
40,63,103,Zr,False,-67808.993,9.223,-67.808993,0.009223,95876.08355626,0.009223,8.4258337
41,62,103,Nb,False,-75028.667,3.935,-75.028667,0.003935,95868.86388225999,0.003935,8.488332
42,61,103,Mo,False,-80954.331,9.223,-80.95433100000001,0.009223,95862.93821826,0.009223,8.5382672
43,60,103,Tc,False,-84603.92,9.81,-84.60392,0.009810000000000001,95859.28862926,0.009810000000000001,8.5661045
44,59,103,Ru,False,-87267.168,0.441,-87.267168,0.000441,95856.62538125999,0.000441,8.5843656
45,58,103,Rh,False,-88031.705,2.301,-88.031705,0.002301,95855.86084426,0.002301,8.5841927
46,57,103,Pd,False,-87456.98,0.878,-87.45698,0.000878,95856.43556926,0.000878,8.5710173
47,56,103,Ag,False,-84802.702,4.099,-84.80270200000001,0.004099,95859.08984726,0.004099,8.537652
48,55,103,Cd,False,-80651.626,1.811,-80.65162600000001,0.001811,95863.24092325999,0.001811,8.489754699999999
49,54,103,In,False,-74632.397,8.98,-74.632397,0.00898,95869.26015226,0.00898,8.4237199
50,53,103,Sn,True,-67092.0,100.0,-67.092,0.1,95876.80054925999,0.1,8.343
51,52,103,Sb,True,-56670.0,300.0,-56.67,0.3,95887.22254926,0.3,8.234
37,67,104,Rb,True,-27450.0,500.0,-27.45,0.5,96847.93665168001,0.5,8.057
38,66,104,Sr,True,-43760.0,300.0,-43.76,0.3,96831.62665168001,0.3,8.206
39,65,104,Y,True,-54080.0,200.0,-54.08,0.2,96821.30665168,0.2,8.298
40,64,104,Zr,False,-65717.66,9.316,-65.71766000000001,0.009316000000000001,96809.66899168001,0.009316000000000001,8.4023159
41,63,104,Nb,False,-71810.997,1.784,-71.810997,0.001784,96803.57565468001,0.001784,8.453383200000001
42,62,104,Mo,False,-80343.748,8.911,-80.343748,0.008910999999999999,96795.04290368,0.008910999999999999,8.5279063
43,61,104,Tc,False,-82498.969,24.886,-82.498969,0.024886,96792.88768268001,0.024886,8.541107
44,60,104,Ru,False,-88095.763,2.498,-88.095763,0.0024980000000000002,96787.29088868,0.0024980000000000002,8.5873998
45,59,104,Rh,False,-86959.344,2.303,-86.959344,0.002303,96788.42730768,0.002303,8.5689501
46,58,104,Pd,False,-89395.123,1.336,-89.39512300000001,0.0013360000000000002,96785.99152868001,0.0013360000000000002,8.5848485
47,57,104,Ag,False,-85116.47,4.217,-85.11647,0.004216999999999999,96790.27018168001,0.004216999999999999,8.536185
48,56,104,Cd,False,-83968.391,1.673,-83.968391,0.001673,96791.41826068,0.001673,8.5176232
49,55,104,In,False,-76182.675,5.775,-76.182675,0.005775000000000001,96799.20397668,0.005775000000000001,8.435238
50,54,104,Sn,False,-71627.057,5.745,-71.62705700000001,0.005745,96803.75959468,0.005745,8.3839114
51,53,104,Sb,True,-59295.0,101.0,-59.295,0.101,96816.09165168,0.101,8.258
52,52,104,Te,False,-49626.831,317.609,-49.626830999999996,0.317609,96825.75982068,0.317609,8.1573256
38,67,105,Sr,True,-38190.0,500.0,-38.19,0.5,97768.6907541,0.5,8.152
39,66,105,Y,True,-50570.0,400.0,-50.57,0.4,97756.31075409999,0.4,8.262
40,65,105,Zr,False,-61458.274,12.11,-61.458273999999996,0.01211,97745.4224801,0.01211,8.358598
41,64,105,Nb,False,-69915.547,4.028,-69.915547,0.0040279999999999995,97736.9652071,0.0040279999999999995,8.431692499999999
42,63,105,Mo,False,-77330.788,9.055,-77.330788,0.009055,97729.54996609999,0.009055,8.494862999999999
