Z,N,A,element,is_estimated,mass_excess_keV,mass_excess_unc_keV,mass_excess_MeV,mass_excess_unc_MeV,E_exp_MeV,E_exp_unc_MeV,BE_per_A_MeV
5,9,14,B,False,23663.686,21.213,23.663686000000002,0.021213000000000003,13064.58111988,0.021213000000000003,6.1016451
6,8,14,C,False,3019.89328,0.00375,3.01989328,3.7499999999999997e-06,13043.93732716,3.7499999999999997e-06,7.5203198
7,7,14,N,False,2863.41683,0.00022,2.8634168300000002,2.2e-07,13043.78085071,2.2e-07,7.475614800000001
8,6,14,O,False,8007.781,0.025,8.007781,2.5e-05,13048.92521488,2.5e-05,7.0522783
9,5,14,F,False,31964.403,41.119,31.964402999999997,0.041119,13072.88183688,0.041119,5.2852091
4,11,15,Be,False,49825.821,165.797,49.825821000000005,0.165797,14022.2373573,0.165797,4.5409708
5,10,15,B,False,28957.379,21.029,28.957379,0.021029,14001.3689153,0.021029,5.8800438
6,9,15,C,False,9873.145,0.8,9.873145000000001,0.0008,13982.2846813,0.0008,7.1001696
7,8,15,N,False,101.43809,0.00058,0.10143809000000001,5.8e-07,13972.51297439,5.8e-07,7.6994603
8,7,15,O,False,2855.622,0.49,2.855622,0.00049,13975.2671583,0.00049,7.4636914999999995
9,6,15,F,False,16566.752,14.0,16.566752,0.014,13988.9782883,0.014,6.4974597
10,5,15,Ne,False,40215.374,66.684,40.215374000000004,0.066684,14012.6269103,0.066684,4.8687285000000005
4,12,16,Be,False,57447.139,165.797,57.447139,0.165797,14961.35277772,0.165797,4.2852851
5,11,16,B,False,37111.699,24.566,37.111699,0.024565999999999998,14941.017337719999,0.024565999999999998,5.5073535
6,10,16,C,False,13694.133,3.578,13.694132999999999,0.003578,14917.59977172,0.003578,6.9220546
7,9,16,N,False,5683.907,2.301,5.6839070000000005,0.002301,14909.58954572,0.002301,7.3737971
8,8,16,O,False,-4737.00217,0.0003,-4.737002169999999,3e-07,14899.168636549999,3e-07,7.9762072
9,7,16,F,False,10675.182,5.364,10.675182000000001,0.005364,14914.58082072,0.005364,6.964049
10,6,16,Ne,False,23986.775,20.48,23.986775,0.02048,14927.89241372,0.02048,6.0831777
5,12,17,B,False,43716.322,204.104,43.716322,0.204104,15879.11606314,0.204104,5.2696677
6,11,17,C  2,False,21031.88,17.365,21.03188,0.017365,15856.43162114,0.017365,6.5580262000000005
7,10,17,N,False,7870.079,15.0,7.870079,0.015,15843.26982014,0.015,7.2862294
8,9,17,O,False,-808.76421,0.00064,-0.8087642100000001,6.4e-07,15834.59097693,6.4e-07,7.750729099999999
9,8,17,F,False,1951.701,0.248,1.9517010000000001,0.000248,15837.35144214,0.000248,7.542328400000001
10,7,17,Ne,False,16500.452,0.354,16.500452000000003,0.000354,15851.90019314,0.000354,6.6404991
11,6,17,Na,False,34719.58,59.616,34.71958,0.059616,15870.11932114,0.059616,5.5227653
5,13,18,B,False,51792.64,204.165,51.79264,0.20416499999999999,16818.68648356,0.20416499999999999,4.9766306
6,12,18,C,False,24919.266,30.0,24.919266,0.03,16791.81310956,0.03,6.4261321
7,11,18,N,False,13113.167,18.57,13.113166999999999,0.01857,16780.00701056,0.01857,7.038562700000001
8,10,18,O,False,-782.81634,0.00064,-0.78281634,6.4e-07,16766.11102722,6.4e-07,7.7670981
9,9,18,F,False,873.112,0.463,0.873112,0.00046300000000000003,16767.76695556,0.00046300000000000003,7.6316383
10,8,18,Ne,False,5317.617,0.363,5.317617,0.000363,16772.21146056,0.000363,7.3412577
11,7,18,Na,False,25037.992,93.881,25.037992,0.093881,16791.93183556,0.093881,6.2022176
5,14,19,B,False,59770.251,525.363,59.770250999999995,0.525363,17758.158196980003,0.525363,4.7196346
6,13,19,C,False,32413.754,98.389,32.413754,0.09838899999999999,17730.801699980002,0.09838899999999999,6.118274
7,12,19,N  p,False,15856.255,16.404,15.856254999999999,0.016404,17714.24420098,0.016404,6.9485452
8,11,19,O,False,3332.858,2.637,3.3328580000000003,0.002637,17701.720803980003,0.002637,7.5664952
9,10,19,F,False,-1487.44512,0.00082,-1.48744512,8.2e-07,17696.90050086,8.2e-07,7.7790192
10,9,19,Ne,False,1752.054,0.16,1.752054,0.00016,17700.13999998,0.00016,7.5673431
11,8,19,Na,False,12929.384,10.535,12.929384,0.010535000000000001,17711.31732998,0.010535000000000001,6.9378864
12,7,19,Mg,False,31838.394,60.001,31.838394,0.060001,17730.22633998,0.060001,5.9014992
5,15,20,B,False,69401.569,546.357,69.40156900000001,0.546357,18699.2836174,0.546357,4.4056529
6,14,20,C,False,37503.567,230.625,37.503567000000004,0.230625,18667.3856154,0.230625,5.9614356
7,13,20,N,False,21766.498,78.894,21.766498,0.078894,18651.6485464,0.078894,6.7091717
8,12,20,O,False,3796.172,0.885,3.796172,0.000885,18633.678220399997,0.000885,7.5685707
9,11,20,F,False,-17.463,0.03,-0.017463,2.9999999999999997e-05,18629.8645854,2.9999999999999997e-05,7.7201351
10,10,20,Ne,False,-7041.93217,0.00154,-7.04193217,1.5399999999999999e-06,18622.84011623,1.5399999999999999e-06,8.0322412
11,9,20,Na,False,6850.489,1.109,6.850489,0.001109,18636.7325374,0.001109,7.2985028000000005
12,8,20,Mg,False,17477.694,1.863,17.477694,0.001863,18647.3597424,0.001863,6.7280252
5,16,21,B,False,78382.887,558.664,78.382887,0.5586639999999999,19639.75903782,0.5586639999999999,4.1525265
6,15,21,C,True,45643.0,596.0,45.643,0.596,19607.01915082,0.596,5.674
7,14,21,N,False,25231.915,134.048,25.231915,0.134048,19586.60806582,0.134048,6.6090159
8,13,21,O,False,8062.034,12.0,8.062033999999999,0.012,19569.43818482,0.012,7.3893747
9,12,21,F,False,-47.605,1.8,-0.047604999999999995,0.0018,19561.32854582,0.0018,7.7382934
10,11,21,Ne,False,-5731.776,0.038,-5.731776,3.8e-05,19555.64437482,3.8e-05,7.9717136
11,10,21,Na,False,-2184.857,0.042,-2.184857,4.2000000000000004e-05,19559.19129382,4.2000000000000004e-05,7.7655581
12,9,21,Mg,False,10903.851,0.755,10.903851000000001,0.000755,19572.28000182,0.000755,7.1050317
13,8,21,Al,True,27090.0,600.0,27.09,0.6,19588.46615082,0.6,6.297
6,16,22,C,False,53611.203,231.49,53.611203,0.23149,20546.48145624,0.23149,5.4210778
7,15,22,N,False,31764.805,207.779,31.764805,0.207779,20524.635058239997,0.207779,6.3785347
8,14,22,O,False,9283.032,56.921,9.283031999999999,0.056921,20502.153285239998,0.056921,7.3648722
9,13,22,F,False,2793.376,12.399,2.7933760000000003,0.012398999999999999,20495.66362924,0.012398999999999999,7.6242954
10,12,22,Ne,False,-8024.716,0.018,-8.024716,1.7999999999999997e-05,20484.84553724,1.7999999999999997e-05,8.0804656
11,11,22,Na,False,-5181.391,0.132,-5.181391,0.000132,20487.68886224,0.000132,7.9156624
12,10,22,Mg,False,-399.986,0.159,-0.399986,0.00015900000000000002,20492.470267239998,0.00015900000000000002,7.662764500000001
13,9,22,Al,True,18201.0,401.0,18.201,0.401,20511.07125324,0.401,6.782
14,8,22,Si,True,33640.0,500.0,33.64,0.5,20526.510253239998,0.5,6.044
6,17,23,C,True,64171.0,997.0,64.171,0.997,21488.53535566,0.997,5.077
7,16,23,N,False,36720.429,420.57,36.720428999999996,0.42057,21461.08478466,0.42057,6.2366721
8,15,23,O,False,14621.371,121.712,14.621371,0.121712,21438.98572666,0.121712,7.1634856
9,14,23,F,False,3285.263,33.32,3.285263,0.03332,21427.64961866,0.03332,7.622344699999999
10,13,23,Ne,False,-5154.045,0.104,-5.154045,0.000104,21419.21031066,0.000104,7.9552561
11,12,23,Na,False,-9529.85352,0.00181,-9.529853520000001,1.81e-06,21414.83450214,1.81e-06,8.1114936
12,11,23,Mg,False,-5473.675,0.032,-5.473675,3.2e-05,21418.89068066,3.2e-05,7.901122900000001
13,10,23,Al,False,6748.071,0.345,6.7480709999999995,0.000345,21431.11242666,0.000345,7.3357275
14,9,23,Si,True,23950.0,500.0,23.95,0.5,21448.31435566,0.5,6.554
7,17,24,N,True,46938.0,401.0,46.938,0.401,22402.79645808,0.401,5.887
8,16,24,O,False,18500.404,164.874,18.500404,0.164874,22374.35886208,0.164874,7.039685499999999
9,15,24,F,False,7544.516,97.67,7.544516,0.09767,22363.402974080003,0.09767,7.4635831
10,14,24,Ne,False,-5951.642,0.513,-5.951642,0.000513,22349.90681608,0.000513,7.9933252
11,13,24,Na,False,-8417.901,0.017,-8.417901,1.7e-05,22347.44055708,1.7e-05,8.0634882
12,12,24,Mg,False,-13933.578,0.013,-13.933577999999999,1.3e-05,22341.92488008,1.3e-05,8.260710300000001
13,11,24,Al,False,-48.812,0.228,-0.048811999999999994,0.000228,22355.80964608,0.000228,7.6495806
14,10,24,Si,False,10745.186,19.472,10.745186,0.019472,22366.60364408,0.019472,7.1672329
15,9,24,P,True,34020.0,500.0,34.02,0.5,22389.878458080002,0.5,6.165
7,18,25,N,True,55983.0,503.0,55.983,0.503,23343.3355605,0.503,5.613
8,17,25,O,False,27329.03,165.084,27.32903,0.165084,23314.6815905,0.165084,6.7278058000000005
9,16,25,F,False,11334.167,96.442,11.334166999999999,0.096442,23298.6867275,0.096442,7.3363065
10,15,25,Ne,False,-2035.503,29.045,-2.035503,0.029045,23285.3170575,0.029045,7.8397993999999995
11,14,25,Na,False,-9357.814,1.2,-9.357814000000001,0.0012,23277.9947465,0.0012,8.1013979
12,13,25,Mg,False,-13192.782,0.047,-13.192782,4.7e-05,23274.1597785,4.7e-05,8.2235028
13,12,25,Al,False,-8915.974,0.065,-8.915974,6.500000000000001e-05,23278.4365865,6.500000000000001e-05,8.0211366
14,11,25,Si,False,3827.322,10.0,3.827322,0.01,23291.1798825,0.01,7.4801109
15,10,25,P,True,20190.0,400.0,20.19,0.4,23307.5425605,0.4,6.794
8,18,26,O,False,34661.041,164.95,34.661041,0.16494999999999999,24253.50770392,0.16494999999999999,6.497479
9,17,26,F,False,18674.655,107.027,18.674654999999998,0.107027,24237.52131792,0.107027,7.0822497
10,16,26,Ne,False,481.114,18.429,0.481114,0.018428999999999997,24219.32777692,0.018428999999999997,7.751911
11,15,26,Na,False,-6860.78,3.502,-6.86078,0.003502,24211.985882920002,0.003502,8.0042013
12,14,26,Mg,False,-16214.544,0.029,-16.214544,2.9e-05,24202.632118920003,2.9e-05,8.3338711
13,13,26,Al,False,-12210.139,0.066,-12.210139,6.6e-05,24206.636523920002,6.6e-05,8.1497653
14,12,26,Si,False,-7141.003,0.108,-7.1410029999999995,0.000108,24211.70565992,0.000108,7.9247083
15,11,26,P,True,10973.0,196.0,10.973,0.196,24229.819662920003,0.196,7.198
16,10,26,S,True,27680.0,600.0,27.68,0.6,24246.52666292,0.6,6.525
8,19,27,O,True,44670.0,500.0,44.67,0.5,25195.010765339997,0.5,6.185
9,18,27,F,False,25133.478,120.198,25.133478,0.120198,25175.47424334,0.120198,6.8796662
10,17,27,Ne,False,7050.91,90.77,7.05091,0.09076999999999999,25157.39167534,0.09076999999999999,7.5204151
11,16,27,Na,False,-5517.791,3.726,-5.517791,0.003726,25144.82297434,0.003726,7.9569467000000005
12,15,27,Mg,False,-14586.594,0.047,-14.586594,4.7e-05,25135.75417134,4.7e-05,8.2638525
13,14,27,Al,False,-17196.864,0.047,-17.196864,4.7e-05,25133.143901339998,4.7e-05,8.3315533
14,13,27,Si,False,-12384.505,0.107,-12.384504999999999,0.000107,25137.956260339997,0.000107,8.124342
15,12,27,P,False,-659.032,9.001,-0.6590320000000001,0.009000999999999999,25149.68173334,0.009000999999999999,7.6610894
16,11,27,S,True,17491.0,400.0,17.491,0.4,25167.83176534,0.4,6.96
8,20,28,O,True,52080.0,699.0,52.08,0.699,26133.914867760002,0.699,5.988
9,19,28,F,False,33403.796,120.347,33.403796,0.120347,26115.23866376,0.120347,6.6268567
10,18,28,Ne,False,11299.738,126.068,11.299738,0.12606799999999999,26093.134605760002,0.12606799999999999,7.3883463
11,17,28,Na,False,-988.315,10.246,-0.988315,0.010246,26080.846552760002,0.010246,7.7992644
12,16,28,Mg,False,-15019.946,0.261,-15.019946,0.000261,26066.81492176,0.000261,8.2724531
13,15,28,Al,False,-16850.719,0.049,-16.850719,4.9000000000000005e-05,26064.984148760002,4.9000000000000005e-05,8.3098969
14,14,28,Si,False,-21492.79711,0.00051,-21.492797109999998,5.1e-07,26060.34207065,5.1e-07,8.4477445
15,13,28,P,False,-7147.856,1.147,-7.147856,0.001147,26074.68701176,0.001147,7.9074842
16,12,28,S,False,4073.203,160.0,4.073203,0.16,26085.90807076,0.16,7.4787911000000005
17,11,28,Cl,True,28270.0,500.0,28.27,0.5,26110.10486776,0.5,6.587
9,20,29,F,False,40150.19,525.363,40.15019,0.525363,27053.47916018,0.525363,6.4440314
10,19,29,Ne,False,18399.803,149.505,18.399803,0.149505,27031.72877318,0.149505,7.167067299999999
11,18,29,Na,False,2679.994,7.337,2.679994,0.007337,27016.008964179997,0.007337,7.682152200000001
12,17,29,Mg,False,-10612.36,0.345,-10.61236,0.000345,27002.71661018,0.000345,8.1135317
13,16,29,Al,False,-18207.762,0.345,-18.207762,0.000345,26995.12120818,0.000345,8.348464700000001
14,15,29,Si,False,-21895.08154,0.00056,-21.89508154,5.599999999999999e-07,26991.43388864,5.599999999999999e-07,8.4486361
15,14,29,P,False,-16952.849,0.359,-16.952848999999997,0.000359,26996.376121179997,0.000359,8.251236800000001
16,13,29,S,False,-3094.423,13.041,-3.094423,0.013041,27010.23454718,0.013041,7.7463826
17,12,29,Cl,True,14022.0,189.0,14.022,0.189,27027.35097018,0.189,7.129
18,11,29,Ar,True,37969.0,439.0,37.969,0.439,27051.29797018,0.439,6.276
9,21,30,F,True,48960.0,500.0,48.96,0.5,27993.7830726,0.5,6.205
10,20,30,Ne,False,23280.12,253.25,23.28012,0.25325,27968.1031926,0.25325,7.0345317
11,19,30,Na,False,8474.67,4.727,8.47467,0.004727,27953.2977426,0.004727,7.5019685
12,18,30,Mg,False,-8881.373,1.295,-8.881373,0.001295,27935.9416996,0.001295,8.054425
13,17,30,Al,False,-15864.116,1.936,-15.864116,0.001936,27928.9589566,0.001936,8.2611049
14,16,30,Si,False,-24432.962,0.022,-24.432962,2.2e-05,27920.3901106,2.2e-05,8.5206549
15,15,30,P,False,-20200.856,0.065,-20.200855999999998,6.500000000000001e-05,27924.6222166,6.500000000000001e-05,8.3535064
16,14,30,S,False,-14059.254,0.206,-14.059254000000001,0.000206,27930.7638186,0.000206,8.1227081
17,13,30,Cl,False,4674.548,23.876,4.674548,0.023876,27949.4976206,0.023876,7.4721698
18,12,30,Ar,True,22071.0,179.0,22.071,0.179,27966.8940726,0.179,6.866
9,22,31,F,True,56843.0,535.0,56.843,0.535,28933.16017502,0.535,6.011
10,21,31,Ne,False,31181.594,266.195,31.181594,0.266195,28907.49876902,0.266195,6.8130901999999995
11,20,31,Na,False,12246.031,13.972,12.246031,0.013972,28888.563206019997,0.013972,7.398677800000001
12,19,31,Mg,False,-3122.152,3.074,-3.1221520000000003,0.003074,28873.19502302,0.003074,7.8691886
13,18,31,Al,False,-14950.709,2.236,-14.950709000000002,0.002236,28861.366466019997,0.002236,8.225518
14,17,31,Si,False,-22949.037,0.043,-22.949037,4.2999999999999995e-05,28853.36813802,4.2999999999999995e-05,8.4582916
15,16,31,P,False,-24440.54442,0.00075,-24.44054442,7.5e-07,28851.8766306,7.5e-07,8.4811677
16,15,31,S,False,-19042.531,0.229,-19.042531,0.000229,28857.27464402,0.000229,8.2818013
17,14,31,Cl,False,-7034.552,3.447,-7.034552,0.003447,28869.282623019997,0.003447,7.8692101
18,13,31,Ar,True,11325.0,200.0,11.325,0.2,28887.64217502,0.2,7.252
19,12,31,K,True,34260.0,300.0,34.26,0.3,28910.577175019997,0.3,6.487
10,22,32,Ne,True,36999.0,503.0,36.999,0.503,29844.81027744,0.503,6.671
11,21,32,Na,False,18640.152,37.26,18.640151999999997,0.03726,29826.45142944,0.03726,7.2198815000000005
12,20,32,Mg,False,-828.901,3.26,-0.828901,0.00326,29806.98237644,0.00326,7.8038411
13,19,32,Al,False,-11099.368,7.173,-11.099368,0.007173,29796.71190944,0.007173,8.1003449
14,18,32,Si,False,-24077.689,0.298,-24.077689,0.000298,29783.733588439998,0.000298,8.481468999999999
15,17,32,P,False,-24304.876,0.04,-24.304876,4e-05,29783.50640144,4e-05,8.464120300000001
16,16,32,S,False,-26015.53714,0.00131,-26.01553714,1.31e-06,29781.7957403,1.31e-06,8.4931301
17,15,32,Cl,False,-13334.706,0.562,-13.334706,0.0005620000000000001,29794.47657144,0.0005620000000000001,8.0724058
18,14,32,Ar,False,-2200.352,1.77,-2.2003519999999996,0.00177,29805.61092544,0.00177,7.700008899999999
19,13,32,K,True,21990.0,400.0,21.99,0.4,29829.80127744,0.4,6.92
10,23,33,Ne,True,46130.0,600.0,46.13,0.6,30785.435379860002,0.6,6.436
11,22,33,Na,False,23780.113,449.912,23.780113,0.449912,30763.085492860002,0.449912,7.0899262
12,21,33,Mg,False,4962.873,2.663,4.962872999999999,0.002663,30744.26825286,0.002663,7.6364382
13,20,33,Al,False,-8497.382,6.986,-8.497382,0.006986,30730.80799786,0.006986,8.0206172
14,19,33,Si,False,-20514.328,0.699,-20.514328000000003,0.000699,30718.79105186,0.000699,8.3610596
