# redshift distance_modulus sigma_mu
0.093909 38.17282051 0.151746
0.286619 41.03840765 0.093226
0.194317 39.96152004 0.129008
0.147025 39.30358397 0.133709
0.211587 40.56032369 0.146559
0.180120 39.63857770 0.145700
0.263491 40.76732261 0.087458
0.192150 40.03921788 0.097804
0.338803 41.30537188 0.133673
0.117277 38.74593382 0.132489
0.142405 39.11647725 0.132594
0.160862 39.31917589 0.212942
0.288418 40.84278536 0.134663
0.122829 38.79978970 0.147446
0.263648 40.54817567 0.143756
0.126473 38.71046918 0.135822
0.172742 39.50293614 0.112724
0.163796 39.39456306 0.138537
0.249511 40.78092433 0.101999
0.257740 40.65147840 0.114974
0.106712 38.63666690 0.108458
0.159890 39.35058453 0.122235
0.204980 40.02450023 0.176191
0.244379 40.20193039 0.080000
0.248508 40.27217468 0.137200
0.228528 40.25443364 0.081663
0.085855 37.95244412 0.135842
0.061836 37.13099448 0.182669
0.277853 40.83800845 0.122355
0.275440 40.74339180 0.094752
0.155247 39.31732041 0.103048
0.330512 41.22793900 0.137597
0.361934 41.38445335 0.103630
0.330635 41.05225989 0.126377
0.144621 39.29082977 0.121313
0.389289 41.60262843 0.105726
0.173910 39.53194111 0.171904
0.300313 40.84684819 0.136269
0.116349 38.74613817 0.080000
0.218585 40.19909746 0.124990
0.119672 38.75553812 0.104246
0.154632 39.32395023 0.140750
0.408319 41.84029353 0.102431
0.177601 40.07067585 0.117567
0.250668 40.74560303 0.132838
0.251740 40.54172176 0.141550
0.391599 41.50872710 0.092399
0.128727 38.86422531 0.112133
0.399601 41.72880031 0.110096
0.309493 41.01819247 0.105184
0.170628 39.47490012 0.162781
0.278925 40.76782977 0.130593
0.308581 40.90762171 0.090478
0.185812 39.82409758 0.142454
0.066440 37.37210505 0.213665
0.316430 41.39507338 0.146032
0.257498 40.59416459 0.084015
0.298777 41.02935798 0.109215
0.270434 40.66898384 0.151358
0.279455 40.50128437 0.103712
0.292470 40.91904865 0.131618
0.188853 39.79203749 0.139020
0.265762 40.49814992 0.098351
0.124274 38.71998690 0.118730
0.182549 39.78402156 0.080000
0.312883 41.01444878 0.096222
0.309547 41.19255672 0.114882
0.089019 37.82845293 0.112567
0.402460 41.91114676 0.161400
0.200612 39.85239182 0.085975
0.326396 40.97230418 0.110446
0.211630 39.98010475 0.123616
0.179686 39.72095995 0.155023
0.093149 38.28091373 0.106924
0.302402 41.03320010 0.149085
0.108638 38.65050020 0.120369
0.085696 37.99379171 0.120555
0.202609 39.96775926 0.131557
0.196716 39.92441738 0.125196
0.126688 38.91520843 0.105742
0.214568 40.20184967 0.122161
0.320447 41.10278514 0.111735
0.218347 40.22084984 0.123231
0.189707 39.93956251 0.136315
0.092937 38.14583004 0.197581
0.379662 41.43306189 0.091415
0.210938 39.98393773 0.171853
0.366603 41.85985724 0.080000
0.420927 42.13354800 0.118133
0.258028 40.64467887 0.134893
0.183568 39.71079580 0.127114
0.212549 40.08759328 0.105466
0.360034 41.15730044 0.116292
0.393974 41.78115342 0.109616
0.114713 38.66909512 0.105976
0.143706 39.18577065 0.140642
0.252486 40.51842108 0.129278
0.387297 41.89246533 0.104707
0.348584 41.30094104 0.143076
0.255491 40.48594463 0.128095
0.216583 40.36027170 0.140076
0.430000 41.31885817 0.137263
0.620000 43.22796202 0.103390
0.570000 42.48911036 0.109520
0.300000 40.96279515 0.139008
0.380000 42.06317653 0.136326
0.430000 42.39854151 0.121401
0.240000 40.74219158 0.123428
0.440000 42.04953327 0.153175
0.500000 42.36300326 0.108074
0.970000 42.82120383 0.169087
0.479000 42.35175776 0.117418
0.830000 43.54240344 0.144007
0.416000 42.42361704 0.148553
0.581000 42.06342328 0.143848
0.450000 41.83199185 0.141956
0.579000 43.18636334 0.155673
0.320000 41.24460345 0.121571
0.657000 42.97524872 0.141384
0.430000 41.76613683 0.114346
0.472000 41.96916326 0.130228
