ell,C_TT,C_TE,C_EE
274,1.310154130205508e-09,-6.006165057249631e-10,3.27538532551377e-10
275,1.3014657979035767e-09,-5.981584137310263e-10,3.2536644947589417e-10
276,1.2931281745452243e-09,-5.957749398632682e-10,3.2328204363630607e-10
277,1.285138971729904e-09,-5.934673782184672e-10,3.21284742932476e-10
278,1.2774959771626138e-09,-5.912369508515841e-10,3.1937399429065345e-10
279,1.2701970560543205e-09,-5.89084809448029e-10,3.1754926401358013e-10
280,1.2632401524647756e-09,-5.870120369514546e-10,3.158100381161939e-10
281,1.2566232905870916e-09,-5.850196491443226e-10,3.141558226467729e-10
282,1.2503445759734769e-09,-5.831085961786032e-10,3.125861439933692e-10
283,1.2444021967015704e-09,-5.81279764054097e-10,3.111005491753926e-10
284,1.2387944244808215e-09,-5.795339760419654e-10,3.096986061202054e-10
285,1.2335196156984154e-09,-5.778719940511987e-10,3.0837990392460385e-10
286,1.2285762124042507e-09,-5.762945199358597e-10,3.0714405310106267e-10
287,1.2239627432345216e-09,-5.748021967410735e-10,3.059906858086304e-10
288,1.2196778242734804e-09,-5.733956098858615e-10,3.049194560683701e-10
289,1.215720159852978e-09,-5.720752882810466e-10,3.039300399632445e-10
290,1.2120885432894297e-09,-5.708417053805928e-10,3.0302213582235743e-10
291,1.208781857557858e-09,-5.696952801648688e-10,3.021954643894645e-10
292,1.2057990759027182e-09,-5.686363780544699e-10,3.0144976897567954e-10
293,1.2031392623852262e-09,-5.676653117533637e-10,3.0078481559630656e-10
294,1.200801572366947e-09,-5.667823420202638e-10,3.0020039309173673e-10
295,1.1987852529294249e-09,-5.659876783672745e-10,2.996963132323562e-10
296,1.1970896432296815e-09,-5.652814796849963e-10,2.992724108074204e-10
297,1.195714174791418e-09,-5.646638547934089e-10,2.989285436978545e-10
298,1.1946583717318077e-09,-5.641348629180047e-10,2.9866459293295193e-10
299,1.1939218509237834e-09,-5.63694514090778e-10,2.9848046273094586e-10
300,1.193504322093759e-09,-5.633427694758177e-10,2.9837608052343976e-10
301,1.1934055878547587e-09,-5.630795416193987e-10,2.9835139696368967e-10
302,1.1936255436749494e-09,-5.629046946246012e-10,2.9840638591873734e-10
303,1.194164177781614e-09,-5.628180442506356e-10,2.985410444454035e-10
304,1.1950215710006216e-09,-5.628193579371835e-10,2.987553927501554e-10
305,1.1961978965314934e-09,-5.62908354754215e-10,2.9904947413287334e-10
306,1.1976934196581851e-09,-5.630847052778726e-10,2.994233549145463e-10
307,1.199508497395739e-09,-5.633480313931546e-10,2.9987712434893474e-10
308,1.2016435780729961e-09,-5.636979060242715e-10,3.0041089451824903e-10
309,1.2040992008515741e-09,-5.641338527936718e-10,3.0102480021289353e-10
310,1.2068759951813684e-09,-5.646553456108869e-10,3.017189987953421e-10
311,1.2099746801928417e-09,-5.652618081924571e-10,3.0249367004821043e-10
312,1.2133960640264154e-09,-5.659526135143482e-10,3.0334901600660384e-10
313,1.2171410430992943e-09,-5.667270831983836e-10,3.0428526077482356e-10
314,1.2212106013100915e-09,-5.67584486834352e-10,3.053026503275229e-10
315,1.225605809181651e-09,-5.685240412395734e-10,3.0640145229541275e-10
316,1.2303278229424895e-09,-5.695449096578201e-10,3.075819557356224e-10
317,1.2353778835473103e-09,-5.706462008996212e-10,3.0884447088682757e-10
318,1.2407573156370812e-09,-5.718269684260859e-10,3.101893289092703e-10
319,1.2464675264391737e-09,-5.730862093784947e-10,3.116168816097934e-10
320,1.2525100046081184e-09,-5.74422863556024e-10,3.131275011520296e-10
321,1.2588863190075348e-09,-5.758358123440711e-10,3.147215797518837e-10
322,1.2655981174338386e-09,-5.773238775957522e-10,3.1639952935845964e-10
323,1.2726471252823458e-09,-5.788858204692464e-10,3.1816178132058644e-10
324,1.280035144156434e-09,-5.805203402237577e-10,3.200087860391085e-10
325,1.2877640504204292e-09,-5.82226072976954e-10,3.219410126051073e-10
326,1.2958357936969334e-09,-5.84001590426842e-10,3.2395894842423335e-10
327,1.3042523953093225e-09,-5.858453985411087e-10,3.260630988273306e-10
328,1.3130159466701725e-09,-5.877559362170559e-10,3.282539866675431e-10
329,1.3221286076164018e-09,-5.897315739153209e-10,3.3053215190410045e-10
330,1.3315926046919371e-09,-5.917706122706549e-10,3.328981511729843e-10
331,1.3414102293787425e-09,-5.938712806830979e-10,3.353525573446856e-10
332,1.351583836277067e-09,-5.960317358929554e-10,3.3789595906926675e-10
333,1.3621158412358036e-09,-5.982500605430388e-10,3.405289603089509e-10
334,1.3730087194338605e-09,-6.005242617316909e-10,3.4325217985846513e-10
335,1.384265003413481e-09,-6.028522695601649e-10,3.4606625085337026e-10
336,1.3958872810664717e-09,-6.052319356779761e-10,3.489718202666179e-10
337,1.4078781935743106e-09,-6.07661031829883e-10,3.5196954839357765e-10
338,1.4202404333031412e-09,-6.101372484081924e-10,3.550601083257853e-10
339,1.4329767416546752e-09,-6.126581930141167e-10,3.582441854136688e-10
340,1.4460899068740449e-09,-6.152213890319383e-10,3.615224767185112e-10
341,1.4595827618156758e-09,-6.178242742197521e-10,3.6489569045391896e-10
342,1.4734581816682586e-09,-6.20464199320586e-10,3.6836454541706466e-10
343,1.4877190816399362e-09,-6.231384266977012e-10,3.7192977040998404e-10
344,1.5023684146048196e-09,-6.258441289978833e-10,3.755921036512049e-10
345,1.517409168711985e-09,-6.285783878465398e-10,3.7935229217799623e-10
346,1.532844364958115e-09,-6.313381925784215e-10,3.8321109123952876e-10
347,1.5486770547249574e-09,-6.341204390077561e-10,3.8716926368123934e-10
348,1.5649103172828096e-09,-6.369219282416049e-10,3.912275793207024e-10
349,1.5815472572612364e-09,-6.39739365540194e-10,3.953868143153091e-10
350,1.598591002088255e-09,-6.425693592279854e-10,3.9964775052206374e-10
351,1.616044699399237e-09,-6.454084196592019e-10,4.040111748498092e-10
352,1.6339115144167852e-09,-6.482529582414895e-10,4.084778786041963e-10
353,1.6521946273028666e-09,-6.510992865213772e-10,4.1304865682571664e-10
354,1.67089723048449e-09,-6.539436153351316e-10,4.177243076211225e-10
355,1.6900225259542338e-09,-6.567820540285677e-10,4.2250563148855845e-10
356,1.7095737225469453e-09,-6.596106097493245e-10,4.273934306367363e-10
357,1.7295540331939322e-09,-6.624251868150474e-10,4.3238850829848304e-10
358,1.7499666721560003e-09,-6.652215861608679e-10,4.374916680390001e-10
359,1.7708148522366812e-09,-6.679955048694985e-10,4.427037130591703e-10
360,1.7921017819770176e-09,-6.707425357871842e-10,4.480254454942544e-10
361,1.8138306628332772e-09,-6.734581672286896e-10,4.534576657083193e-10
362,1.8360046863389824e-09,-6.761377827744049e-10,4.590011715847456e-10
363,1.8586270312526397e-09,-6.787766611625746e-10,4.6465675781315994e-10
364,1.881700860692579e-09,-6.813699762795719e-10,4.704252151731447e-10
365,1.9052293192602974e-09,-6.839127972510307e-10,4.763073298150743e-10
366,1.929215530153732e-09,-6.864000886365629e-10,4.82303882538433e-10
367,1.9536625922718737e-09,-6.88826710730683e-10,4.884156480679684e-10
368,1.9785735773121543e-09,-6.911874199724588e-10,4.946433943280386e-10
369,2.0039515268620307e-09,-6.93476869466285e-10,5.009878817155077e-10
370,2.0297994494862067e-09,-6.956896096160846e-10,5.074498623715517e-10
371,2.0561203178109272e-09,-6.978200888751062e-10,5.140300794527318e-10
372,2.0829170656067843e-09,-6.99862654613376e-10,5.207292664016961e-10
373,2.1101925848714846e-09,-7.018115541047383e-10,5.275481462178712e-10
374,2.137949722914021e-09,-7.036609356352867e-10,5.344874307285052e-10
375,2.1661912794416873e-09,-7.054048497348643e-10,5.415478198604218e-10
376,2.194920003651396e-09,-7.070372505331752e-10,5.48730000912849e-10
377,2.224138591326736e-09,-7.085519972419142e-10,5.56034647831684e-10
378,2.2538496819422174e-09,-7.099428557641831e-10,5.634624204855544e-10
379,2.284055855776148e-09,-7.112035004323244e-10,5.71013963944037e-10
