source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,ic,55851.7358,11.278,0.016,0.11189901120716388,0.0016490047688088913,,AB,550.0
osc,SN2011fe,,,,rc,55851.7358,11.569,0.01,0.08559063509416805,0.0007883188818708977,,AB,550.0
osc,SN2011fe,,,,v,55851.7358,11.897,0.007,0.06327413968257954,0.0004079434542543659,,AB,545.0
osc,SN2011fe,,,,i,55851.75,11.27,0.02,0.11272655864494059,0.0020764999481628745,,AB,763.0
osc,SN2011fe,,,,r,55851.75,11.59,0.02,0.08395107253127582,0.001546435905211021,,AB,623.0
osc,SN2011fe,,,,v,55851.75,11.91,0.02,0.06252104795774188,0.0011516802642068985,,AB,545.0
osc,SN2011fe,,,,b,55851.76,13.07,0.01,0.021479602936911427,0.00019783445410385354,,AB,438.0
osc,SN2011fe,,,,i,55851.76,11.18,0.03,0.12246902177403517,0.0033839441266854792,,AB,763.0
osc,SN2011fe,,,,r,55851.76,11.63,0.02,0.08091448027000471,0.0014904998086165896,,AB,623.0
osc,SN2011fe,,,,u,55851.76,13.2,0.08,0.019055758881669233,0.0014040802027718551,,AB,355.1
osc,SN2011fe,,,,v,55851.76,11.9,0.02,0.06309954809188972,0.0011623366304883696,,AB,545.0
osc,SN2011fe,,,,b,55851.783,13.091,0.011,0.02106814258494185,0.00021344924063390467,,AB,438.0
osc,SN2011fe,,,,ic,55851.783,11.173,0.016,0.12326115954350654,0.0018164435744642494,,AB,550.0
osc,SN2011fe,,,,rc,55851.783,11.528,0.01,0.08888454403957914,0.0008186569044124309,,AB,550.0
osc,SN2011fe,,,,v,55851.783,11.857,0.007,0.06564871790711439,0.0004232529258358601,,AB,545.0
osc,SN2011fe,,,,u,55852.2378,13.422,0.035,0.015531959481112785,0.0005006912171267697,,AB,355.1
osc,SN2011fe,,,,u,55852.2386,13.329,0.031,0.016921008705906276,0.00048312957381756405,,AB,355.1
osc,SN2011fe,,,,b,55852.2398,13.11,0.03,0.020702664726513952,0.0005720357662142963,,AB,438.0
osc,SN2011fe,,,,b,55852.2406,12.979,0.029,0.023357494158841478,0.0006238783671741892,,AB,438.0
osc,SN2011fe,,,,v,55852.2417,11.952,0.03,0.06014870049673722,0.0016619700135210083,,AB,545.0
osc,SN2011fe,,,,v,55852.2429,11.909,0.029,0.06257865849751364,0.0016714751598729052,,AB,545.0
osc,SN2011fe,,,,uvw1,55852.3145,14.73,0.053,0.00465614234562401,0.0002272886758649141,,AB,550.0
osc,SN2011fe,,,,u,55852.3165,13.379,0.031,0.016159437862144684,0.0004613851610834703,,AB,355.1
osc,SN2011fe,,,,b,55852.3175,13.012,0.029,0.022658243981066216,0.0006052014039610116,,AB,438.0
osc,SN2011fe,,,,uvw2,55852.3205,15.956,0.077,0.0015053110474175992,0.00010675608876557294,,AB,550.0
osc,SN2011fe,,,,v,55852.3234,11.935,0.029,0.06109789515746866,0.0016319239901936454,,AB,545.0
osc,SN2011fe,,,,uvm2,55852.3279,16.19,0.07,0.0012134621903348184,7.823479861055201e-05,,AB,550.0
