snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate,z
1259231,105,3.615570081419379,2.217391400120116,0.9014652459141552,1.5933117214159225,56572.96549690362,0.1,1.5,184.3940741523884,True,True,True,False,False,0.1964700073003769
1283924,105,3.481862294130726,1.5755005543610234,0.8659748910772422,4.045224641109975,57230.51192213174,0.1,1.5,177.57497700066702,True,True,True,False,False,0.5499799847602844
1332008,96,3.6465705572447487,2.069060443378929,0.90959958034263,3.61562446766014,57269.04900145142,0.1,1.5,169.5655309118808,True,True,True,False,False,0.6127200126647949
1252820,73,4.308293438573048,4.467694049678592,1.0756428976519654,4.519368393008733,56497.212,0.1,1.5,150.7902703500567,True,True,True,False,False,1.2642979621887207
1260278,80,5.038080603036281,5.304998508983246,1.2445669076764632,3.709020953886864,56517.249,0.1,1.5,193.9661032168968,True,True,True,False,False,0.9241999983787536
1293959,92,4.909506072889175,5.035649698253782,1.2157405247206126,5.653158703556883,56840.386,0.1,1.5,218.47302024356827,True,True,True,False,False,1.2966829538345337
1430074,76,3.8783905496013102,9.18841613877973,0.969362980661846,1.707639235489971,57564.221,0.1,1.5,141.56125506044782,True,True,False,False,False,0.3849000036716461
1258726,73,3.428158482772025,5.34615890167085,0.8515286880769697,2.3199429139246,56502.359,0.1,1.5,119.98554689702088,True,True,True,False,False,0.6707329750061035
1931242,79,3.1200596058216727,1.1545616568257353,0.7663690457607302,1.9198313775306808,57988.25632841227,0.1,1.5,118.56226502122357,True,True,True,False,False,0.6884599924087524
1249905,51,13.2167627321647,5.2976774565523135,2.635486588087584,2.466717922332876,56495.15306519643,0.1,1.5,317.2023055719528,True,False,True,True,False,0.3262400031089782
1942106,63,5.20821195521147,2.1301378773383,1.2821507301691248,3.7909242411780752,58081.62303267032,0.1,1.5,156.2463586563441,True,True,True,False,False,0.5663800239562988
1307257,61,5.9317028369621125,1.8123170490630525,1.4355087429451188,2.9145010507704043,56623.00306815574,0.1,1.5,172.01938227190126,True,True,True,False,False,0.2087299972772598
1897066,71,4.085967779913163,2.07209020839655,1.021377693533092,3.5900616374757064,58011.20917055732,0.1,1.5,138.92290451704753,True,True,True,False,False,0.846340000629425
1434258,114,6.958436610554863,1.4785972072539455,1.6378848743936611,3.2290062169416984,57666.97884420803,0.1,1.5,386.1932318857949,True,True,True,False,False,0.6626020073890686
1248928,105,5.988945197791146,7.628476883102501,1.4472321503672565,2.13041261040992,56470.222,0.1,1.5,305.43620508734847,True,True,True,False,False,0.6608399748802185
1367265,121,4.2575539381746825,8.486311753136807,1.0633840985562242,4.01960430536689,57565.41,0.1,1.5,251.19568235230628,True,True,True,False,False,1.0558700561523438
1783052,202,3.7165278149042105,1.8106684904710628,0.9278298200059596,3.070851195058616,57965.8009381983,0.1,1.5,369.7945175829689,True,True,True,False,False,0.4796000123023987
1295287,67,9.126842946790507,5.261681657839718,2.021066524721113,6.028186334268895,56893.192,0.1,1.5,292.05897429729623,True,True,True,True,True,1.8269089460372925
1273541,96,3.445658604102693,4.882414788970004,0.856248529724049,3.892928222093502,57198.388,0.1,1.5,160.22312509077526,True,True,True,False,False,0.8756920099258423
1246633,82,6.971270646734396,4.265368489261493,1.6403163914073624,3.9610405798165473,56486.207,0.1,1.5,275.36519054600865,True,True,True,False,False,0.8789299726486206
1295627,102,5.088856601034195,2.784970526697588,1.2558494189626654,3.2388247221005813,56860.93918505426,0.1,1.5,251.89840175119264,True,True,True,False,False,0.2779499888420105
