snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_ln_A,chi2_per_obs
1264157,0.198266,21.8008,16.7024,41.0536,39.9352,-24.3512,-23.2328,22.428316,-11.14
1260461,0.858551,21.7440,19.9467,42.8646,43.6914,-22.9180,-23.7447,21.108217,-12.17
1770318,0.361325,19.6075,20.3870,42.1461,41.4249,-21.7591,-21.0378,20.040862,-11.31
1291254,0.350210,21.5784,18.1793,42.0963,41.3455,-23.9170,-23.1662,22.028403,-12.26
1314067,0.433649,22.5031,17.6393,42.4140,41.8921,-24.7747,-24.2528,22.818348,-11.95
1328089,0.568638,23.0321,17.6534,42.7193,42.5977,-25.0658,-24.9443,23.086500,-12.21
1837119,0.430849,22.8517,17.2468,42.4052,41.8754,-25.1584,-24.6286,23.171785,-12.26
1430218,0.299391,20.7555,18.7322,41.8320,40.9504,-23.0998,-22.2181,21.275666,-10.98
1290713,0.550760,21.2661,19.5015,42.6903,42.5139,-23.1887,-23.0124,21.357623,-11.40
1332461,0.431723,19.7442,20.6251,42.4080,41.8806,-21.7829,-21.2555,20.062769,-10.75
1339783,1.253522,25.5757,16.6083,42.4686,44.7073,-25.8603,-28.0990,23.818257,-12.08
1314046,0.273113,17.4196,22.1547,41.6676,40.7212,-19.5129,-18.5665,17.972002,-12.40
1258203,0.885353,25.7652,15.6474,42.8547,43.7737,-27.2073,-28.1263,25.058874,-11.00
1303954,1.029510,27.2136,14.4024,42.7534,44.1783,-28.3509,-29.7759,26.112187,-11.90
1390255,0.333883,17.1603,22.8725,42.0183,41.2247,-19.1458,-18.3522,17.633925,-10.76
1254671,0.470647,21.9542,18.4131,42.5194,42.1039,-24.1063,-23.6908,22.202721,-12.11
1325392,0.155412,21.0563,16.9819,40.5578,39.3503,-23.5759,-22.3683,21.714187,-3.94
1266657,0.321073,21.6681,17.8932,41.9526,41.1260,-24.0595,-23.2328,22.159578,-11.74
1511024,0.371782,21.5294,18.3622,42.1907,41.4975,-23.8285,-23.1353,21.946817,-11.93
1301915,0.620430,20.7759,20.2924,42.7872,42.8273,-22.4948,-22.5349,20.718491,-11.35
1256505,0.556258,22.2654,18.4381,42.6995,42.5400,-24.2614,-24.1018,22.345554,-12.16
1456021,0.248403,19.4256,19.7708,41.4917,40.4863,-21.7209,-20.7156,20.005701,-12.44
1338485,0.584657,21.5848,19.2852,42.7427,42.6708,-23.4576,-23.3856,21.605214,-12.12
1339730,0.448808,22.8790,17.3059,42.4595,41.9808,-25.1536,-24.6750,23.167344,-11.44
1286134,0.489262,20.0165,20.6011,42.5656,42.2047,-21.9645,-21.6036,20.230089,-11.50
1305692,0.381971,21.9608,17.9526,42.2320,41.5665,-24.2794,-23.6139,22.362182,-11.45
1330828,0.367055,22.5739,17.2004,42.1708,41.4649,-24.9704,-24.2645,22.998613,-11.13
1811128,0.924575,21.5212,20.3495,42.8348,43.8898,-22.4853,-23.5404,20.709770,-12.27
1335459,0.839586,21.5219,20.1393,42.8697,43.6316,-22.7304,-23.4923,20.935465,-12.04
1315197,0.208232,23.6601,14.7902,41.1509,40.0542,-26.3608,-25.2641,24.279187,-7.90
1840041,0.238908,21.7738,17.1366,41.4178,40.3904,-24.2812,-23.2538,22.363820,-10.35
1298599,0.567135,24.8717,15.6504,42.7169,42.5908,-27.0665,-26.9404,24.929212,-11.46
1291988,0.809236,27.2350,13.8564,42.8744,43.5332,-29.0180,-29.6769,26.726588,-3.18
1371170,0.747886,21.7988,19.5875,42.8696,43.3229,-23.2821,-23.7354,21.443603,-11.43
1258802,0.549469,22.0623,18.6320,42.6881,42.5077,-24.0561,-23.8758,22.156476,-12.04
1645208,0.695162,21.7244,19.5096,42.8485,43.1285,-23.3390,-23.6189,21.495982,-12.46
1293195,0.834457,25.0070,16.3421,42.8708,43.6153,-26.5287,-27.2731,24.433822,-12.33
1290593,0.675277,21.5503,19.6356,42.8360,43.0515,-23.2005,-23.4159,21.368434,-12.09
1871023,0.148399,23.8396,13.8597,40.4619,39.2405,-26.6022,-25.3808,24.501543,-4.26
1306141,0.332394,22.5508,17.0101,42.0108,41.2134,-25.0008,-24.2033,23.026545,-11.08
1295705,1.022992,27.7183,13.8407,42.7595,44.1613,-28.9189,-30.3206,26.635249,-12.16
1390393,0.532326,20.8297,19.9014,42.6571,42.4247,-22.7558,-22.5234,20.958835,-11.46
1321116,0.626840,22.1584,18.8137,42.7941,42.8545,-23.9804,-24.0408,22.086742,-12.35
1309749,0.789284,22.0459,19.4362,42.8750,43.4666,-23.4388,-24.0304,21.587927,-12.39
1259246,0.222842,22.1429,16.5847,41.2838,40.2196,-24.6991,-23.6350,22.748717,-10.46
1254670,0.504946,22.1502,18.3530,42.6014,42.2868,-24.2483,-23.9338,22.333554,-12.09
1310475,0.663754,25.1886,15.6479,42.8276,43.0058,-27.1796,-27.3579,25.033375,-11.57
1286337,0.662962,22.7102,18.3362,42.8270,43.0027,-24.4908,-24.6665,22.556835,-12.13
1706098,0.766648,22.1051,19.3087,42.8732,43.3889,-23.5645,-24.0802,21.703691,-10.76
1773257,0.448792,23.9480,16.1451,42.4594,41.9808,-26.3143,-25.8356,24.236383,-12.04
1275369,0.278620,20.1862,19.1943,41.7038,40.7708,-22.5096,-21.5766,20.732078,-11.38
1314397,0.397090,20.4069,19.7240,42.2899,41.6658,-22.5659,-21.9418,20.783985,-11.45
1311596,0.791536,23.2005,18.1888,42.8750,43.4742,-24.6862,-25.2853,22.736833,-11.22
1279714,0.699381,20.2758,21.0954,42.8508,43.1445,-21.7554,-22.0491,20.037474,-12.09
1601036,0.844245,19.7267,22.1004,42.8686,43.6464,-20.7682,-21.5460,19.128224,-11.18
1387162,0.617502,20.7449,20.3158,42.7839,42.8148,-22.4682,-22.4991,20.693955,-11.80
1260399,0.300980,19.1000,20.5411,41.8413,40.9636,-21.3001,-20.4225,19.618159,-12.14
1423159,0.723019,20.6851,20.7233,42.8618,43.2329,-22.1385,-22.5096,20.390324,-12.09
1929216,0.335841,22.0714,17.5530,42.0279,41.2394,-24.4749,-23.6864,22.542227,-11.31
1254002,0.535909,25.9505,14.3561,42.6639,42.4423,-28.3077,-28.0862,26.072395,-11.62
1256042,0.465909,19.9324,20.5862,42.5069,42.0777,-21.9207,-21.4914,20.189709,-12.61
1370944,0.509475,21.5612,19.0119,42.6112,42.3101,-23.5993,-23.2983,21.735765,-12.17
1250526,0.771555,24.7603,16.4397,42.8738,43.4060,-26.4341,-26.9662,24.346708,-10.56
1291315,0.838093,23.5040,17.9833,42.8701,43.6269,-24.8867,-25.6435,22.921504,-11.50
1251064,0.728724,23.9248,17.2228,42.8639,43.2538,-25.6411,-26.0310,23.616298,-11.67
1742022,0.698267,22.6211,18.5456,42.8502,43.1403,-24.3047,-24.5947,22.385418,-11.11
1563063,0.715516,25.7394,15.2130,42.8587,43.2052,-27.6457,-27.9922,25.462625,-11.33
1266064,0.423127,24.7666,15.1285,42.3805,41.8288,-27.2520,-26.7004,25.100008,-11.27
1373028,0.255170,22.1819,16.8365,41.5421,40.5527,-24.7056,-23.7162,22.754659,-8.40
