snid,ra,dec,z,mjd,band,flux_nu_jy,flux_nu_jy_err,wavelength_eff_nm,snr,survey,source_dataset
1248677,53.646217,-28.127001,0.35067,56591.306,i,7.338289047107489e-08,2.2680259334648263e-09,784.0,32.35540184453228,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56591.328,r,3.2646466637743464e-08,1.5684066786114926e-09,642.0,20.815052041633308,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56595.097,g,3.2915804560701836e-08,5.73501904436999e-09,472.0,5.739441195581547,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56595.104,z,1.3895848330703727e-07,1.94313207979085e-08,926.0,7.151262889036041,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56602.132,g,1.4939321658754218e-08,2.283251240370715e-09,472.0,6.543003851091143,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56602.155,z,7.272773736426194e-08,2.57353560923927e-09,926.0,28.25985275010827,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56602.276,i,5.2843032319639935e-08,1.8434332824142272e-09,784.0,28.665551839464882,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56602.3,r,1.7152967374242196e-08,1.1547911719259694e-09,642.0,14.853739612188363,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56607.069,g,1.6085956249451873e-08,1.3277001783367857e-08,472.0,1.2115654205607476,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56607.213,z,5.5188979919699615e-08,4.245039655684456e-09,926.0,13.000816104461368,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56607.276,i,4.368502790052869e-08,1.996497476885822e-09,784.0,21.880833011955268,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56607.302,r,1.5621137841043827e-08,1.4277970027500352e-09,642.0,10.940727436012573,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56611.222,z,4.661134760725753e-08,3.2444838789338455e-09,926.0,14.366336633663368,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56611.287,i,3.8825307367997217e-08,2.6542453051049623e-09,784.0,14.627625899280574,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56611.323,r,1.8060138336135246e-08,2.6646211612692305e-09,642.0,6.777750848279204,Pantheon_Plus_DES,Pantheon+SH0ES
