redshift,distance_modulus,sigma_mu
0.051339,16.3402,0.41379342672401165
0.052161,9.7102,0.1944222209522358
0.052359,14.575,0.4589117562233506
0.053068,16.6965,0.4790615826801393
0.053749,14.6802,0.3628015986734347
0.054274,20.2342,0.46789421881446663
0.059272,17.7573,0.4719639816765682
0.059407,14.7269,0.3390796366637195
0.059624,12.1197,0.2168524844220144
0.060524,20.0331,0.5071242451313089
0.061597,16.2058,0.4637887450122092
0.061631,11.1019,0.2838133189263675
0.063465,15.9774,0.442944691807002
0.065431,17.0444,0.431885401466639
0.066063,12.3978,0.26958301133417145
0.066644,12.6074,0.39
0.066824,15.1392,0.35843409436045565
0.067155,16.6943,0.3367491648096547
0.067424,17.0611,0.4146082488325576
0.067727,14.6795,0.506458290484024
0.068358,15.972,0.495
0.068587,19.6828,0.5211285829812062
0.069198,22.9166,0.525856444288743
0.069477,12.7529,0.23669600757089249
0.069632,15.227,0.43809245599530694
0.069636,17.8561,0.4963617632332289
0.07009,15.4778,0.34270978976387584
0.070728,23.2472,0.5217758139277825
0.071502,16.824,0.47244047244070864
0.073335,13.2762,0.3095965116082544
0.073537,16.9441,0.2900861940872057
0.073739,13.0494,0.19899748742132398
0.074875,15.0586,0.44167295593006367
0.075036,17.9645,0.48420037174706915
0.075629,16.4522,0.4562071897723664
0.075781,18.086,0.5055689863905815
0.076067,20.2077,0.5301179114121687
0.076277,18.8053,0.5217758139277825
0.076579,14.6895,0.37319565913874186
0.079102,16.8096,0.32794816663613174
0.080293,15.0023,0.3603123644839294
0.081378,16.3936,0.4213371571556442
0.083339,16.5997,0.4140652122552678
0.083339,19.7454,0.5215601595214113
0.08336,17.1375,0.4862869523234198
0.084636,17.1074,0.5150485414016818
0.090348,16.2507,0.33841542518035433
0.09275,16.691,0.49794578018093494
0.093175,10.2538,0.2662235902394827
0.093327,14.0698,0.37047267105685405
0.093881,14.1942,0.3968626966596886
0.093936,15.1753,0.10062305898749054
0.094121,18.7045,0.49794578018093494
0.094129,20.1722,0.5189653167601859
0.09433,21.5286,0.5026678824034811
0.094504,16.2884,0.3146426544510455
0.095015,16.4661,0.4245291509425472
0.096463,20.4295,0.52242224301804
0.09746,18.3794,0.5157034031301325
0.09911,13.0908,0.20457272545478783
0.099736,14.802,0.448998886412873
0.1009,15.5762,0.4175823272122516
0.101561,18.7934,0.4529900661162449
0.102744,14.9835,0.4197320573889967
0.102904,22.4277,0.5180974811751162
0.102906,18.7176,0.5288430769141258
0.104421,13.8497,0.2649528259898354
0.104469,20.8757,0.5159215056575951
0.104696,16.4345,0.4865182422068056
0.105426,14.2639,0.35559808773389096
0.105625,10.6578,0.2294558781116753
0.10713,16.9511,0.5088958636106212
0.10713,17.1528,0.52242224301804
0.107204,17.9473,0.5286303056011828
0.107326,18.4527,0.4920365840057017
0.108329,16.0639,0.48303726564313854
0.108349,16.0136,0.38768543949960255
0.108468,19.4893,0.5301179114121687
