zCMB,target,sigma
0.0308,35.59350422,0.134896
0.0329,35.94176854,0.10348
0.023,35.0706425,0.152057
0.015,34.3797728,0.118131
0.0321,35.87036183,0.164208
0.0643,37.17550222,0.122417
0.032,35.82669134,0.196498
0.0209,34.7028985,0.126502
0.0219,34.84899048,0.140338
0.032,35.58849732,0.174406
0.0151,34.52587529,0.113074
0.0192,34.49156233,0.156824
0.0266,35.32349359,0.189214
0.0377,35.79521443,0.101776
0.0247,34.91369283,0.155539
0.0242,35.18938058,0.157796
0.0366,35.97129065,0.173455
0.0229,35.13862607,0.112891
0.0312,35.88285856,0.110386
0.015,34.11141096,0.165658
0.0341,35.77047476,0.15891
0.0251,34.94827524,0.157515
0.0189,34.37470166,0.160393
0.029802,35.47092171,0.129599
0.032134,35.37812789,0.156968
0.027569,35.47547181,0.158792
0.046967,36.49441345,0.128569
0.018315,34.3717549,0.205973
0.080048,37.68570934,0.164215
0.024185,35.05232428,0.114261
0.015027,33.9501915,0.169697
0.028396,35.54814847,0.12076
0.044977,36.55039542,0.173613
0.032912,35.96785202,0.184758
0.07535,37.58008992,0.12538
0.020375,34.65644385,0.178901
0.022971,35.13388295,0.162383
0.026809,35.26015054,0.174662
0.017931,34.34982,0.206904
0.048392,36.68583438,0.142638
0.056683,36.96362307,0.127388
0.063864,37.31594161,0.123315
0.14629,39.55900955,0.100607
0.129278,38.91800095,0.118321
0.102715,38.48725959,0.128305
0.242505,40.13044655,0.127285
0.298409,41.06240023,0.140929
0.043719,36.38656602,0.15039
0.113043,38.55145413,0.155057
0.256476,40.6108439,0.114295
0.295586,41.1370597,0.186684
0.380359,41.65749866,0.136701
0.145669,39.0567157,0.099611
0.273455,40.72715824,0.094909
0.297519,40.77220501,0.132587
0.378966,41.5814889,0.116057
0.380417,41.27234053,0.138848
0.301755,41.4938105,0.132392
0.348345,41.30779153,0.119491
0.085689,37.99741341,0.124596
0.260586,40.52316768,0.084135
0.215543,40.29652942,0.109723
0.117625,38.57941851,0.140722
0.182218,39.59381884,0.125498
0.357507,41.3288394,0.091096
0.141788,39.27381133,0.124373
0.260533,40.80813414,0.130007
0.232781,40.20452909,0.099251
0.151858,39.15578836,0.123937
0.093909,38.17282051,0.151746
0.286619,41.03840765,0.093226
0.194317,39.96152004,0.129008
0.147025,39.30358397,0.133709
0.211587,40.56032369,0.146559
0.18012,39.6385777,0.1457
0.263491,40.76732261,0.087458
0.19215,40.03921788,0.097804
0.338803,41.30537188,0.133673
0.117277,38.74593382,0.132489
0.142405,39.11647725,0.132594
0.160862,39.31917589,0.212942
0.288418,40.84278536,0.134663
0.122829,38.7997897,0.147446
0.263648,40.54817567,0.143756
0.126473,38.71046918,0.135822
0.172742,39.50293614,0.112724
0.163796,39.39456306,0.138537
0.249511,40.78092433,0.101999
0.25774,40.6514784,0.114974
0.106712,38.6366669,0.108458
0.15989,39.35058453,0.122235
0.20498,40.02450023,0.176191
0.244379,40.20193039,0.08
0.248508,40.27217468,0.1372
0.228528,40.25443364,0.081663
0.085855,37.95244412,0.135842
0.061836,37.13099448,0.182669
0.277853,40.83800845,0.122355
0.27544,40.7433918,0.094752
0.155247,39.31732041,0.103048
0.330512,41.227939,0.137597
0.361934,41.38445335,0.10363
0.330635,41.05225989,0.126377
0.144621,39.29082977,0.121313
0.389289,41.60262843,0.105726
0.17391,39.53194111,0.171904
0.300313,40.84684819,0.136269
0.116349,38.74613817,0.08
0.218585,40.19909746,0.12499
0.119672,38.75553812,0.104246
0.154632,39.32395023,0.14075
0.408319,41.84029353,0.102431
0.177601,40.07067585,0.117567
0.250668,40.74560303,0.132838
0.25174,40.54172176,0.14155
0.391599,41.5087271,0.092399
0.128727,38.86422531,0.112133
0.399601,41.72880031,0.110096
0.309493,41.01819247,0.105184
0.170628,39.47490012,0.162781
0.278925,40.76782977,0.130593
0.308581,40.90762171,0.090478
0.185812,39.82409758,0.142454
0.06644,37.37210505,0.213665
0.31643,41.39507338,0.146032
0.257498,40.59416459,0.084015
0.298777,41.02935798,0.109215
0.270434,40.66898384,0.151358
0.279455,40.50128437,0.103712
0.29247,40.91904865,0.131618
0.188853,39.79203749,0.13902
0.265762,40.49814992,0.098351
0.124274,38.7199869,0.11873
0.182549,39.78402156,0.08
0.312883,41.01444878,0.096222
0.309547,41.19255672,0.114882
0.089019,37.82845293,0.112567
0.40246,41.91114676,0.1614
0.200612,39.85239182,0.085975
0.326396,40.97230418,0.110446
0.21163,39.98010475,0.123616
0.179686,39.72095995,0.155023
0.093149,38.28091373,0.106924
0.302402,41.0332001,0.149085
0.108638,38.6505002,0.120369
0.085696,37.99379171,0.120555
0.202609,39.96775926,0.131557
0.196716,39.92441738,0.125196
0.126688,38.91520843,0.105742
0.214568,40.20184967,0.122161
0.320447,41.10278514,0.111735
0.218347,40.22084984,0.123231
0.189707,39.93956251,0.136315
0.092937,38.14583004,0.197581
0.379662,41.43306189,0.091415
0.210938,39.98393773,0.171853
0.366603,41.85985724,0.08
0.420927,42.133548,0.118133
0.258028,40.64467887,0.134893
0.183568,39.7107958,0.127114
0.212549,40.08759328,0.105466
0.360034,41.15730044,0.116292
0.393974,41.78115342,0.109616
0.114713,38.66909512,0.105976
0.143706,39.18577065,0.140642
0.252486,40.51842108,0.129278
