A,Z,N,element,binding_energy,sigma
25,14,11,Si,187.0027725,0.25
26,8,18,O,168.93445400000002,4.288699999999998
26,9,17,F,184.1384922,2.782702
26,10,16,Ne,201.549686,0.4791539999999974
26,11,15,Na,208.1092338,0.091052
26,12,14,Mg,216.68064859999998,0.000754
26,13,13,Al,211.89389780000002,0.001716
26,14,12,Si,206.0424158,0.0028079999999999997
27,9,18,F,185.75098739999999,3.245346
27,10,17,Ne,203.0512077,2.4507899999999974
27,11,16,Na,214.8375609,0.100602
27,12,15,Mg,223.1240175,0.001269
27,13,14,Al,224.95193909999998,0.001269
27,14,13,Si,219.357234,0.002889
27,15,12,P,206.8494138,0.2430269999999973
28,9,19,F,185.55198760000002,3.369716
28,10,18,Ne,206.8736964,3.5299039999999975
28,11,17,Na,218.3794032,0.286888
28,12,16,Mg,231.6286868,0.007308
28,13,15,Al,232.6771132,0.0013720000000000002
28,14,14,Si,236.53684600000003,1.4279999999999999e-05
28,15,13,P,221.4095576,0.032116
28,16,12,S,209.40615079999998,4.48
29,9,20,F,186.8769106,15.235527000000001
29,10,19,Ne,207.84495169999997,4.3356449999999995
29,11,18,Na,222.78241380000003,0.212773
29,12,17,Mg,235.29241929999998,0.010005
29,13,16,Al,242.10547630000002,0.010005
29,14,15,Si,245.0104469,1.6239999999999997e-05
29,15,14,P,239.28586720000004,0.010411
29,16,13,S,224.64509539999997,0.378189
30,10,20,Ne,211.03595099999998,7.597499999999999
30,11,19,Na,225.059055,0.14181000000000002
30,12,18,Mg,241.63275000000002,0.038849999999999996
30,13,17,Al,247.833147,0.05808
30,14,16,Si,255.61964700000001,0.00066
30,15,15,P,250.60519200000002,0.0019500000000000003
30,16,14,S,243.68124300000002,0.00618
30,17,13,Cl,224.16509399999998,0.71628
31,10,21,Ne,211.2057962,8.252045
31,11,20,Na,229.35901180000002,0.433132
31,12,19,Mg,243.9448466,0.095294
31,13,18,Al,254.99105799999998,0.069316
31,14,17,Si,262.20703960000003,0.001333
31,15,16,P,262.9161987,2.325e-05
31,16,15,S,256.7358403,0.007099
31,17,14,Cl,243.9455131,0.106857
32,11,21,Na,231.036208,1.19232
32,12,20,Mg,249.7229152,0.10432
32,13,19,Al,259.2110368,0.229536
32,14,18,Si,271.40700799999996,0.009536
32,15,17,P,270.85184960000004,0.00128
