A,Z,element,N_neutrons,beta,zeta,c2_over_c1,family,BE_per_A
208,90,Th,118,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.6525716
209,90,Th,119,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.656
210,90,Th,120,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6690764
211,90,Th,121,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6718506
211,91,Pa,120,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.6293948
212,90,Th,122,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6820628
212,91,Pa,121,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.6336289
213,90,Th,123,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.683847
213,91,Pa,122,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6448027
214,90,Th,124,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.6923173
214,91,Pa,123,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6477037
215,90,Th,125,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6930266
215,91,Pa,124,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.657373300000001
215,92,U,123,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.6207821
216,90,Th,126,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.697661699999999
216,91,Pa,125,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.6592006
216,92,U,124,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6313072
217,90,Th,127,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6905945
217,91,Pa,126,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.664643799999999
217,92,U,125,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.634
218,90,Th,128,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6916026
218,91,Pa,127,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.659193500000001
218,92,U,126,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6407191
219,90,Th,129,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.683765500000001
219,91,Pa,128,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6613783
219,92,U,127,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.636286699999999
219,93,Np,126,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.604673200000001
220,90,Th,130,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6844964
220,91,Pa,129,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6555364
220,92,U,128,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.64
220,93,Np,127,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.6020758
221,90,Th,131,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.676064
221,91,Pa,130,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6569809
221,92,U,129,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6346849
221,93,Np,128,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.607
221,94,Pu,127,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.576
222,90,Th,132,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6766592
222,91,Pa,131,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6512373
222,92,U,130,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.637765099999999
222,93,Np,129,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.6027013
222,94,Pu,128,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.582
223,90,Th,133,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6686426
223,91,Pa,132,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6518957
223,92,U,131,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.631761099999999
223,93,Np,130,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.6075654
223,94,Pu,129,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.58
223,95,Am,128,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.547
224,90,Th,134,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6677162
224,91,Pa,133,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6469612
224,92,U,132,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6350742
224,93,Np,131,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6035032
224,94,Pu,130,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.586
224,95,Am,129,0.07543494219122775,1.117587517062865,0.10776420313032536,B,7.546
225,90,Th,135,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6592229
225,91,Pa,134,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6466504
225,92,U,133,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6297717
225,93,Np,132,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6074231
225,94,Pu,131,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.583
225,95,Am,130,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.553
226,90,Th,136,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.657119499999999
226,91,Pa,135,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6411093
226,92,U,134,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.631916599999999
226,93,Np,133,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.6041714
226,94,Pu,132,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.588
226,95,Am,131,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.552
227,90,Th,137,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.6474591
227,91,Pa,136,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6394945
227,92,U,135,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6262918
227,93,Np,134,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.6072771
227,94,Pu,133,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.585
227,95,Am,132,0.07868182863772291,1.1228560107490186,0.11240261233960416,B,7.558
228,90,Th,138,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.6450807
228,91,Pa,137,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6322076
228,92,U,136,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6274763
228,93,Np,135,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.604
228,94,Pu,134,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.5904039
228,95,Am,133,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.557
229,90,Th,139,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.634651
229,91,Pa,138,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.629875200000001
