snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1291348,0.311127,20.9144,21.9956,43.3826,41.0468,-21.3870,-19.0512,19.698124,2.63
1337496,0.551748,19.6965,24.5620,43.6169,42.5186,-19.0548,-17.9566,17.550152,1.39
1324062,0.703247,20.2524,24.4852,43.4859,43.1592,-19.0007,-18.6740,17.500314,0.61
1300390,0.267646,21.7862,20.7222,43.2359,40.6709,-22.5136,-19.9487,20.735823,6.93
1330903,0.564289,22.0857,22.0167,43.6120,42.5776,-21.5953,-20.5609,19.889995,0.97
1250617,0.604844,21.7502,22.5317,43.5882,42.7602,-21.0565,-20.2284,19.393718,1.86
1291322,1.342187,27.6629,17.8430,41.8621,44.8908,-24.0192,-27.0479,22.122482,1.06
1336905,0.171505,20.1660,21.5149,42.6695,39.5857,-21.1545,-18.0707,19.484033,0.83
1773078,0.271424,22.0922,20.4204,43.2506,40.7058,-22.8303,-20.2854,21.027475,26.62
1282139,0.619129,22.2121,22.0809,43.5771,42.8218,-21.4961,-20.7408,19.798681,1.25
1770702,0.338465,24.6758,18.0946,43.4520,41.2591,-25.3574,-23.1645,23.355026,6.97
1256419,0.233284,21.3614,20.8851,43.0800,40.3318,-22.1949,-19.4467,20.442288,5.33
1286201,1.313076,25.1792,20.4919,41.9614,44.8320,-21.4695,-24.3400,19.774100,1.14
1247232,0.954773,24.1188,20.9513,43.0080,43.9760,-22.0567,-23.0247,20.314964,1.70
1248557,0.542106,21.7475,22.2968,43.6197,42.4724,-21.3229,-20.1756,19.639118,0.35
1773303,0.642750,20.9747,23.5056,43.5558,42.9207,-20.0501,-19.4151,18.466852,2.80
1293507,0.741102,22.8465,21.7826,43.4320,43.2986,-21.6494,-21.5160,19.939857,0.91
1262067,0.770094,23.0052,21.6937,43.3859,43.4009,-21.6923,-21.7072,19.979315,2.69
1260280,0.686655,21.4234,23.1620,43.5072,43.0958,-20.3452,-19.9338,18.738592,2.02
1309227,0.925755,21.2589,23.9893,43.0760,43.8933,-19.0867,-19.9039,17.579497,0.91
1298799,1.151218,25.6645,19.6794,42.4771,44.4785,-22.7977,-24.7991,20.997464,2.70
1308568,0.643041,24.0590,20.1580,43.5555,42.9219,-23.3975,-22.7640,21.549934,3.62
1297365,0.343164,19.5483,23.6917,43.4625,41.2940,-19.7707,-17.6023,18.209532,0.80
1288366,0.238109,21.0218,21.2983,43.1045,40.3821,-21.8062,-19.0839,20.084244,3.37
1323349,0.504911,20.8278,23.1411,43.6236,42.2867,-20.4825,-19.1456,18.865053,0.72
1246314,0.383375,21.1785,22.1623,43.5359,41.5758,-21.3736,-19.4135,19.685808,0.57
1310993,0.769844,20.8992,23.9795,43.3863,43.4000,-19.4068,-19.4205,17.874338,0.88
1817269,0.530086,21.6445,22.3600,43.6223,42.4137,-21.2623,-20.0537,19.583277,0.38
1324442,0.626592,21.8862,22.4607,43.5707,42.8534,-21.1100,-20.3927,19.443025,2.05
1281892,0.272939,20.1993,22.4877,43.2565,40.7196,-20.7687,-18.2319,19.128711,1.22
1273415,0.861065,26.8063,17.8090,43.2167,43.6992,-25.4077,-25.8902,23.401320,1.68
1310178,0.772618,21.8763,22.9264,43.3817,43.4096,-20.4554,-20.4833,18.840081,0.93
1258420,0.225747,17.0810,25.4611,43.0400,40.2513,-17.5789,-14.7902,16.190782,1.34
1266965,0.404835,21.1103,22.3547,43.5647,41.7153,-21.2100,-19.3606,19.535144,1.25
1342255,0.218854,23.3392,18.5990,43.0013,40.1755,-24.4023,-21.5765,22.475387,71.03
1247725,1.408055,27.2860,18.3562,41.6309,45.0194,-23.2747,-26.6632,21.436836,5.87
1305350,0.492628,22.0244,21.7884,43.6221,42.2225,-21.8337,-20.4341,20.109543,1.19
1345143,0.665429,21.3989,23.1204,43.5321,43.0125,-20.4117,-19.8921,18.799859,1.38
1249304,0.636805,25.6714,18.3862,43.5615,42.8961,-25.1753,-24.5100,23.187315,2.81
1370906,0.618418,21.4161,22.9427,43.5777,42.8187,-20.6350,-19.8761,19.005526,2.78
1870078,0.102805,20.0333,20.5477,41.8484,38.3794,-21.3007,-17.8317,19.618707,11.53
1339387,1.059233,22.7594,22.6527,42.7400,44.2548,-20.0874,-21.6021,18.501144,0.78
1294199,0.573582,22.7383,21.3436,43.6076,42.6205,-22.2640,-21.2769,20.505878,0.69
1250925,0.551462,21.6914,22.3949,43.6169,42.5172,-21.2221,-20.1224,19.546270,0.49
1370968,0.588880,22.3398,21.8334,43.5990,42.6897,-21.7655,-20.8563,20.046808,3.75
1547048,0.544540,22.8552,21.1039,43.6191,42.4841,-22.5152,-21.3803,20.737289,0.68
1283289,0.334377,21.6438,21.3602,43.4426,41.2284,-22.0824,-19.8682,20.338677,1.16
1294706,0.879915,21.8940,23.1896,43.1773,43.7572,-19.9877,-20.5676,18.409393,0.55
1304172,0.315082,19.3948,23.6729,43.3936,41.0786,-19.7207,-17.4056,18.163406,1.25
1246707,1.013379,23.7927,21.4347,42.8619,44.1359,-21.4272,-22.7012,19.735193,0.62
1644199,0.661152,20.7248,23.8383,43.5368,42.9954,-19.6985,-19.1571,18.142957,1.08
